"search-number","evaluation","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","conformity-level*","conformity-drawn*","network-change*","cut-links-randomly?*","create-links-randomly?*","min-comm-neis*","dissatisfied_updates_opinion*","id_threshold*","use_identity?*","use_opponents_ratio?*","identity_levels*","polarisation-each-n-steps*","polar_repeats*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","esbg_furthest_out*","n-agents*","opinions*","model*","rs*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","record?*","max-ticks*","hk-benchmark?*","record-each-n-steps*","avoid-redundancies?*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"101","7","61","0.15","0.59","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.68","""uniform""","0.4","""uniform""","""link""","false","true","0","0.5","0.54","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.594","7","0.594","0.5175000000000001"
"101","14","54","0.44","0.268","""uniform""","0.12","""uniform""","""openly-listen""","0.59","""uniform""","0.06999999999999999","""uniform""","""link""","false","false","7","0.74","0.5700000000000001","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.542","7","0.594","0.5175000000000001"
"101","21","39","0.23","0.431","""uniform""","0.06999999999999999","""uniform""","""openly-listen""","0.53","""uniform""","0.44","""uniform""","""link""","false","false","2","0.14","0.62","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.517","7","0.594","0.5175000000000001"
"101","28","4","0.15","0.645","""uniform""","0.23","""uniform""","""vaguely-speak""","0.16","""uniform""","0.24000000000000002","""uniform""","""link""","false","false","2","0.43","0.38","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.5389999999999999","7","0.594","0.5175000000000001"
"101","35","42","0.18","0.091","""uniform""","0.14","""uniform""","""vaguely-speak""","0.4","""uniform""","0.53","""uniform""","""link""","false","false","0","0.58","0.13","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.524","7","0.594","0.5175000000000001"
"101","42","2","0.4","0.811","""uniform""","0.47000000000000003","""uniform""","""vaguely-speak""","0.23","""uniform""","1","""uniform""","""link""","false","true","9","0.36","0.75","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.594","0.5175000000000001"
"101","49","30","0.09","0.538","""uniform""","0.28","""uniform""","""openly-listen""","0.79","""uniform""","0.39","""uniform""","""link""","false","true","4","0.85","0.17","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.158","7","0.594","0.5175000000000001"
"101","56","35","0.4","0.8160000000000001","""uniform""","0.03","""uniform""","""openly-listen""","0.36000000000000004","""uniform""","0.53","""uniform""","""link""","false","false","2","0.9400000000000001","0.33","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.511","7","0.594","0.5175000000000001"
"101","63","43","0.48","0.765","""uniform""","0.24000000000000002","""uniform""","""vaguely-speak""","0.8400000000000001","""uniform""","0.36000000000000004","""uniform""","""link""","false","false","2","0.76","0.51","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.594","0.5175000000000001"
"101","70","21","0.5","0.9410000000000001","""uniform""","0.19","""uniform""","""vaguely-speak""","0.59","""uniform""","0.88","""uniform""","""link""","false","false","3","0.47000000000000003","0.92","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.542","7","0.594","0.5175000000000001"
"101","77","25","0","0.594","""uniform""","0.060000000000000005","""uniform""","""openly-listen""","0.76","""uniform""","0.9400000000000001","""uniform""","""link""","false","false","9","0.32","0.47","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.55","7","0.594","0.5175000000000001"
"101","84","55","0.1","0.97","""uniform""","0.44","""uniform""","""openly-listen""","0.81","""uniform""","0.49","""uniform""","""link""","false","false","5","0.5","0.17","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.064","7","0.594","0.5175000000000001"
"101","91","30","0.35000000000000003","0.374","""uniform""","0.02","""uniform""","""vaguely-speak""","0.44","""uniform""","0.98","""uniform""","""link""","false","true","3","0.9500000000000001","0.47","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.519","7","0.594","0.5175000000000001"
"101","98","39","0.39","0.343","""uniform""","0.08","""uniform""","""openly-listen""","0.85","""uniform""","0.22","""uniform""","""link""","false","true","2","0.48","0.74","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.483","7","0.594","0.5175000000000001"
"101","105","4","0.19","0.973","""uniform""","0.24000000000000002","""uniform""","""vaguely-speak""","0.74","""uniform""","0.63","""uniform""","""link""","false","true","6","0.58","0.18","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.594","0.5175000000000001"
"101","112","51","0.18","0.052000000000000005","""uniform""","0.37","""uniform""","""openly-listen""","1.05","""uniform""","0.12","""uniform""","""link""","false","false","5","0.2","0.54","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.531","7","0.594","0.5175000000000001"
"101","119","58","0.48","0.661","""uniform""","0.21000000000000002","""uniform""","""openly-listen""","0.91","""uniform""","0.8400000000000001","""uniform""","""link""","false","false","2","0.25","0.85","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.215","7","0.594","0.5175000000000001"
"101","126","57","0.2","0.937","""uniform""","0.31","""uniform""","""openly-listen""","0.8200000000000001","""uniform""","0.97","""uniform""","""link""","false","true","8","0.03","0.61","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.176","7","0.594","0.5175000000000001"
"101","133","35","0.04","0.858","""uniform""","0.31","""uniform""","""vaguely-speak""","0.66","""uniform""","0.63","""uniform""","""link""","false","true","9","0.21","0.21000000000000002","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.594","0.5175000000000001"
"101","140","3","0.24","0.439","""uniform""","0.2","""uniform""","""openly-listen""","0.15000000000000002","""uniform""","0.86","""uniform""","""link""","false","true","2","0.8","0.28","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.175","7","0.594","0.5175000000000001"
"101","147","2","0.25","0.973","""uniform""","0.31","""uniform""","""vaguely-speak""","0.24000000000000002","""uniform""","0.79","""uniform""","""link""","false","false","9","0.17","0.27","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.003","7","0.594","0.5175000000000001"
"101","154","61","0.15","0.59","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.68","""uniform""","0.4","""uniform""","""link""","false","true","0","0.5","0.54","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.627","7","0.627","0.542"
"101","161","25","0","0.594","""uniform""","0.060000000000000005","""uniform""","""openly-listen""","0.76","""uniform""","0.9400000000000001","""uniform""","""link""","false","false","5","0.2","0.54","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.5640000000000001","7","0.627","0.542"
"101","168","51","0.18","0.052000000000000005","""uniform""","0.37","""uniform""","""openly-listen""","1.05","""uniform""","0.12","""uniform""","""link""","false","false","9","0.32","0.47","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.138","7","0.627","0.542"
"101","175","21","0.5","0.9410000000000001","""uniform""","0.19","""uniform""","""vaguely-speak""","0.59","""uniform""","0.88","""uniform""","""link""","false","true","3","0.47000000000000003","0.92","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.516","7","0.627","0.542"
