"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity.nlogo"
"regularExperiment"
"03/03/2022 01:40:03:749 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","cut-links-randomly?","record?","opinions","updating","set-seed?","boundary","polar_repeats","Y-opinion","draw_id_threshold","model","max-ticks","Centroids_change","boundary-drawn","p-random","tolerance-drawn","p-speaking-drawn","n-neis","use_opponents_ratio?","polarisation-each-n-steps","mode","d_threshold","record-each-n-steps","ESBG_furthest_out","identity_levels","record-length","id_threshold","network-change","tolerance-level","p-speaking-level","centroid_color?","use_identity?","conformity-drawn","N_centroids","RS","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","conformity-level","threshold_drawn","identity_type","X-opinion","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","sd_op1_start","sd_op2_start","median_op1_start","median_op2_start","lower_op1_start","lower_op2_start","upper_op1_start","upper_op2_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","sd_op1_final","sd_op2_final","median_op1_final","median_op2_final","lower_op1_final","lower_op2_final","upper_op1_final","upper_op2_final"
"17","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","6","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","999","0","1","1","1","0.335","0.173","-0.059914728682170515","-0.018015503875969015","0.5476996501135418","0.5661847780387176","-0.126","-0.076","-0.5195000000000001","-0.504","0.3655","0.4495","0","1","1","1","0.108","0.024","0.2050621461025214","-0.13937662236008708","0.28134218446947973","0.25767744190686664","0.25854104115120535","-0.16718504914651647","0.24671457449009096","-0.1815127649551631","0.271458537216722","-0.14746007466577488"
"20","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","999","0","1","1","1","0.321","0.151","-0.042767441860465126","-0.05565116279069768","0.5768553018254976","0.532898378726581","-0.023","-0.024","-0.6134999999999999","-0.522","0.4495","0.2845","0","1","1","1","0.063","0.036","0.0364701744336401","0.008190047580071469","0.23720803223537515","0.19176027197822285","0.04894174085045818","0.03994271076387997","0.040007974011994296","0.032281546244144435","0.07242704547338602","0.0429704631416747"
"4","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","2","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","999","0","1","1","1","0.359","0.155","0.0882325581395349","0.018046511627906974","0.5754296697852711","0.6251271228276434","0.142","-0.008","-0.3985","-0.5645","0.557","0.5635","0","1","1","1","0.089","0.031","-0.09848079012498988","0.215968018278097","0.2894031836399598","0.2566196125533284","-0.11997265962352498","0.22826230063572295","-0.12503076613459047","0.22237898816736212","-0.11493196598980704","0.23136878679130257"
"16","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","6","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","999","0","1","1","1","0.335","0.173","-0.059914728682170515","-0.018015503875969015","0.5476996501135418","0.5661847780387176","-0.126","-0.076","-0.5195000000000001","-0.504","0.3655","0.4495","0","1","1","1","0.112","0.042","0.2210089644126501","-0.11459530194296114","0.30116949939585164","0.2503742877436287","0.2808207751712054","-0.13716178982286614","0.2523951635755737","-0.153668238536821","0.3086476067850973","-0.11628282955551839"
"13","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","5","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","999","0","1","1","1","0.336","0.177","-0.0013410852713178357","-0.024426356589147293","0.5667323758856008","0.5737849359624241","-0.048","-0.069","-0.424","-0.5215000000000001","0.4835","0.491","0","1","1","1","0.103","0.033","0.33636248145752534","-0.292801237166785","0.311297902065667","0.2867492236635975","0.407885604043139","-0.3526167676807236","0.39653877528614256","-0.36072499458899926","0.4191310489362422","-0.3483000285622687"
"24","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","8","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","999","0","1","1","1","0.336","0.165","-0.015317829457364355","0.020155038759689915","0.5593568849650032","0.5836500509939099","0.014","-0.041","-0.531","-0.463","0.4125","0.544","0","1","1","1","0.072","0.032","-0.38072542578557855","-0.4185077131638766","0.2823430480225417","0.33621767349185605","-0.43752508642487975","-0.51801963969531","-0.44233959074290385","-0.5220441990229697","-0.43372589686643015","-0.506302088059787"
"26","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","9","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","999","0","1","1","1","0.362","0.163","-0.015209302325581393","0.026023255813953483","0.5657933820422352","0.6203196059431314","0.011","0.063","-0.512","-0.5615","0.435","0.586","0","1","1","1","0.074","0.036","0.6572999662106108","-0.34734027246257265","0.31865990995758026","0.2470089703806276","0.7456946455307228","-0.4085104543799028","0.7413097935232982","-0.41085785980790923","0.748327858091107","-0.40368779321625836"
"6","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","2","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","999","0","1","1","1","0.359","0.155","0.0882325581395349","0.018046511627906974","0.5754296697852711","0.6251271228276434","0.142","-0.008","-0.3985","-0.5645","0.557","0.5635","0","1","1","1","0.08","0.033","-0.04190116800010809","0.4371753901661477","0.27873289948694174","0.2985764494783893","-0.06158534827064385","0.4830911311277494","-0.07084707880848401","0.4806412153593793","-0.05178090391999764","0.4874428950127799"
"21","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","999","0","1","1","1","0.321","0.151","-0.042767441860465126","-0.05565116279069768","0.5768553018254976","0.532898378726581","-0.023","-0.024","-0.6134999999999999","-0.522","0.4495","0.2845","0","1","1","1","0.11","0.036","0.05708221830896991","-0.3455449900379993","0.23757003703264812","0.2834219933981104","0.08364801873686108","-0.4074260050550043","0.06785043414200737","-0.41947510442536445","0.09177262786088455","-0.3957916456555427"
"2","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","1","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","999","0","1","1","1","0.363","0.155","0.0901085271317829","-0.05872868217054264","0.5861707467793363","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","0","1","1","1","0.084","0.043","0.03857822119955484","-0.17005221029491457","0.27827402580057226","0.24514247291493374","0.014358211170648918","-0.17407379619005403","-0.001149530674079456","-0.1869715033462533","0.04015988596980455","-0.1674082096515752"
