"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity.nlogo"
"regularExperimentPart05"
"03/05/2022 02:41:46:212 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","n-neis","tolerance-level","cut-links-randomly?","record?","opinions","updating","set-seed?","boundary","polar_repeats","Y-opinion","draw_id_threshold","model","max-ticks","Centroids_change","boundary-drawn","p-random","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","mode","d_threshold","record-each-n-steps","ESBG_furthest_out","identity_levels","record-length","id_threshold","network-change","p-speaking-level","centroid_color?","use_identity?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","conformity-level","threshold_drawn","identity_type","X-opinion","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","sd_op1_start","sd_op2_start","median_op1_start","median_op2_start","lower_op1_start","lower_op2_start","upper_op1_start","upper_op2_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","sd_op1_final","sd_op2_final","median_op1_final","median_op2_final","lower_op1_final","lower_op2_final","upper_op1_final","upper_op2_final"
"24","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.59","link","0.543","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","364","53.147286821705436","0.8065818109914357","0.37419642720229357","1.8304263565891472","0.363","0.155","0.09010852713178295","-0.05872868217054265","0.5861707467793364","0.6136919492905467","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","69.21705426356584","0.3367619171918693","0.728560602574142","2.081516472868217","0.311","0.245","-0.0723224289832927","0.009810268108186576","0.23636579556777687","0.603802629364636","-0.07615967665119325","-0.4329486956302136","-0.08712329311957227","-0.46577716176839357","-0.05424411861575358","0.7920928189158769"
"23","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.59","link","0.543","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","364","53.147286821705436","0.8065818109914357","0.37419642720229357","1.8304263565891472","0.363","0.155","0.09010852713178295","-0.05872868217054265","0.5861707467793364","0.6136919492905467","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","66.28682170542636","0.35401321174160316","0.7384530042776423","2.0357315891472867","0.316","0.25","-0.08845009989066095","-0.0069445115288269705","0.2153204703162256","0.6145670635025583","-0.10167606769979809","-0.4536346987681191","-0.12612953218675074","-0.48269731735148147","-0.037373189295698994","0.790343591586095"
"22","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.59","link","0.543","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","364","53.147286821705436","0.8065818109914357","0.37419642720229357","1.8304263565891472","0.363","0.155","0.09010852713178295","-0.05872868217054265","0.5861707467793364","0.6136919492905467","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","76.29457364341086","0.3109564955594775","0.7266205548100771","2.1921027131782944","0.303","0.276","0.02001608718753978","0.01889335081510067","0.19370008670486888","0.5858515775736085","0.04545891062384262","-0.44602640908171326","0.03270667598306404","-0.4527410485116699","0.04942886202599553","0.7408582346760775"
"21","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.59","link","0.43","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","364","53.147286821705436","0.8065818109914357","0.37419642720229357","1.8304263565891472","0.363","0.155","0.09010852713178295","-0.05872868217054265","0.5861707467793364","0.6136919492905467","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","70.67441860465118","0.3256640933311815","0.715734440593645","2.1042877906976742","0.266","0.175","-0.053390209797873164","0.16128353353354255","0.29185717398676186","0.521740583962716","-0.12593088344617245","-0.08514393054114663","-0.24805549448008996","-0.19237186129775097","0.2937599873419064","0.9158980172703823"
"19","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.59","link","0.43","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","364","53.147286821705436","0.8065818109914357","0.37419642720229357","1.8304263565891472","0.363","0.155","0.09010852713178295","-0.05872868217054265","0.5861707467793364","0.6136919492905467","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","74.73643410852713","0.29421122370968456","0.7236050321648011","2.1677567829457365","0.256","0.18","-0.015723190931394026","0.07734778490040374","0.3357399150789239","0.5382712875860368","-0.05693382489752829","-0.0943920682071702","-0.2988663569421227","-0.3744938480078891","0.37446763691436824","0.8317498825759113"
"27","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.59","link","0.65","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","364","53.147286821705436","0.8065818109914357","0.37419642720229357","1.8304263565891472","0.363","0.155","0.09010852713178295","-0.05872868217054265","0.5861707467793364","0.6136919492905467","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","68.95348837209303","0.35154028837463935","0.7352893503444866","2.0773982558139537","0.275","0.208","-0.09372607491774626","0.02474712548301331","0.20109061955979507","0.5489981477191281","-0.07070674550102693","-0.3236818075716257","-0.10566947332960974","-0.38247569190315045","-0.057879930618991174","0.7738278935809595"
"20","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.59","link","0.43","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","364","53.147286821705436","0.8065818109914357","0.37419642720229357","1.8304263565891472","0.363","0.155","0.09010852713178295","-0.05872868217054265","0.5861707467793364","0.6136919492905467","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","78.34108527131782","0.4180872764233437","0.7040155992646484","2.224079457364341","0.289","0.203","-0.14949706326826603","-0.1984867674827229","0.37515023565366273","0.4438403904268817","-0.2372415573530261","-0.11364936279414901","-0.29265934975108093","-0.6335366463745029","0.17598923007029202","0.18183227328757728"
"25","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.59","link","0.65","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","364","53.147286821705436","0.8065818109914357","0.37419642720229357","1.8304263565891472","0.363","0.155","0.09010852713178295","-0.05872868217054265","0.5861707467793364","0.6136919492905467","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","64.15503875968989","0.33649417730457837","0.7766503271222222","2.002422480620155","0.338","0.194","-0.04525060165916168","-0.050847469415631674","0.29982960769451866","0.5467838074212529","-0.0454631300196586","-0.03117451427235897","-0.32264809219464163","-0.6415063402115219","0.24296990527713375","0.6108933208691538"
"30","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","vaguely-speak","0.8","365","5","2","40","0.39","link","0.43","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","364","53.147286821705436","0.8065818109914358","0.3741964272022934","1.8304263565891472","0.362","0.155","0.09010852713178295","-0.058728682170542605","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","114.62015503875969","0.2954732969295114","0.8394196332716596","2.79093992248062","0.333","0.25","0.09707090752532375","-0.12249207190313062","0.25561000819992474","0.5301137834973888","0.18036624382943497","-0.5669999999999998","0.0812360157800199","-0.567","0.26299824686819306","0.488"
"26","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.59","link","0.65","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","364","53.147286821705436","0.8065818109914357","0.37419642720229357","1.8304263565891472","0.363","0.155","0.09010852713178295","-0.05872868217054265","0.5861707467793364","0.6136919492905467","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","50.759689922480625","0.38035970913989015","0.7541153526960898","1.7931201550387597","0.29","0.202","-0.1350976482223255","0.03449145117858628","0.22424614532921108","0.46264754752316817","-0.21175477555882224","0.31245633994200067","-0.2585519655856298","-0.5049182886291206","0.02085308435236661","0.4239722900826659"
