"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity1D.nlogo"
"regularExperimentPart42"
"03/24/2022 11:13:53:457 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","opinions","use_identity?","id_threshold","boundary","max-ticks","record-each-n-steps","conformity-level","n-neis","p-random","mode","tolerance-level","p-speaking-level","network-change","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","polar_repeats","Y-opinion","draw_id_threshold","model","cut-links-randomly?","record?","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","updating","set-seed?","N-agents","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","sd_op1_start","median_op1_start","lower_op1_start","upper_op1_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","sd_op1_final","median_op1_final","lower_op1_final","upper_op1_final"
"19","1","1","true","0.35","0.23","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000004","0.9120932717941234","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785807","-0.055","-0.667","0.538","12.015503875968992","0.8287384958688194","0.8462158991444992","1.1877422480620154","0.603","0.608","-0.07566825085432625","0.6119088887831279","0.23458609256008991","-0.6968739973131755","0.525186310006988"
"18","1","1","true","0.35","0.22","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000004","0.9120932717941234","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785807","-0.055","-0.667","0.538","12","0.8260125980301977","0.8501733055666109","1.1875","0.565","0.564","-0.10853347530597818","0.5757112180081546","0.05667151897172295","-0.6829625313290328","0.4642628894019105"
"13","1","1","true","0.35","0.17","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000004","0.9120932717941234","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785807","-0.055","-0.667","0.538","11.999999999999998","0.826428449098816","0.8526030879288652","1.1875","0.624","0.639","-0.09167801335839729","0.6433802177258532","0.07114037055748108","-0.7431591464114087","0.5515268046123889"
"15","1","1","true","0.35","0.19","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000004","0.9120932717941234","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785807","-0.055","-0.667","0.538","12.007751937984496","0.8304955510519479","0.8516376837957378","1.1876211240310077","0.606","0.612","-0.10567580048456986","0.6191764758785703","0.05709777494288294","-0.7264683828810907","0.5130003551224139"
"21","1","1","true","0.35","0.25","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000004","0.9120932717941234","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785807","-0.055","-0.667","0.538","12","0.8243389787075794","0.8443762182574741","1.1875","0.554","0.564","-0.13542983477069928","0.5686485746383364","0.10599611620480136","-0.7041985934601454","0.428007048447678"
"26","1","1","true","0.35","0.3","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000004","0.9120932717941234","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785807","-0.055","-0.667","0.538","12.03100775193798","0.8458909230786852","0.8485591184965795","1.187984496124031","0.084","0.057","-0.30621625683903103","0.1828994351016126","-0.30735355172713746","-0.3364378342999949","-0.27228453358212684"
"31","1","1","true","0.36","0.09","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999996","0.9120932717941238","0.8126144277829309","1.1875","0.438","0.423","-0.07659689922480617","0.6250742770785809","-0.055","-0.667","0.538","12.000000000000004","0.8310904037107945","0.8723977155244496","1.1875","0.462","0.455","-0.11032881440819288","0.5951372705154327","-0.0029844328064457305","-0.6886896086043208","0.633150448046778"
"14","1","1","true","0.35","0.18","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000004","0.9120932717941234","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785807","-0.055","-0.667","0.538","11.999999999999993","0.8264382624750781","0.8519169977513271","1.1875","0.623","0.629","-0.09083580554129704","0.6367909084220604","0.06870636680395356","-0.727451746946965","0.547510874766103"
"23","1","1","true","0.35","0.27","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000004","0.9120932717941234","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785807","-0.055","-0.667","0.538","12.000000000000004","0.8455666559994672","0.847796297285001","1.1875","0.135","0.099","-0.23788270569488126","0.2431905903024484","-0.23549704222498927","-0.3039697917164732","-0.18782354517705266"
"12","1","1","true","0.35","0.16","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000004","0.9120932717941234","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785807","-0.055","-0.667","0.538","12.015503875968983","0.8307971162753675","0.8541870637397426","1.1877422480620154","0.62","0.628","-0.08837129632827499","0.6365851029194618","0.06566191640415613","-0.7284664084224964","0.5501609872708494"
