"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity.nlogo"
"regularExperimentPart54"
"03/25/2022 13:42:10:757 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","use_identity?","opinions","id_threshold","boundary","max-ticks","p-random","n-neis","mode","record-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","network-change","tolerance-level","p-speaking-level","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","conformity-level","threshold_drawn","identity_type","X-opinion","cut-links-randomly?","record?","updating","set-seed?","polar_repeats","Y-opinion","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","sd_op1_start","sd_op2_start","median_op1_start","median_op2_start","lower_op1_start","lower_op2_start","upper_op1_start","upper_op2_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","sd_op1_final","sd_op2_final","median_op1_final","median_op2_final","lower_op1_final","lower_op2_final","upper_op1_final","upper_op2_final"
"27","1","true","2","0.05","0.31","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.093023255813948","0.8404111988168441","0.8574390410460597","1.188953488372093","0.119","0.052","0.09684764699036048","-0.16266943975629633","0.29451318115812253","0.28292608577414685","0.10331445797961807","-0.18302993928238492","0.09153175387208012","-0.1955554221511383","0.12624441628983568","-0.1627677897196897"
"31","1","true","2","0.05","0.35","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.046511627906973","0.8365090746230046","0.8508995375039285","1.1882267441860466","0.089","0.02","0.12611631576117519","-0.08591134912482705","0.2372193737169127","0.2569056682371493","0.14123500411701484","-0.09203249882311303","0.1316152742039498","-0.11328315151407202","0.15839292236255992","-0.06260721208812087"
"32","1","true","2","0.05","0.36","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","11.992248062015499","0.840960392295957","0.8540528249276942","1.1873788759689923","0.063","0.034","0.15646104690691778","-0.14912412963154426","0.2407458633300782","0.22878062687358253","0.1791104337539322","-0.15641573849312437","0.16036709610908054","-0.17060689541735563","0.1968474036401197","-0.1223822082230113"
"30","1","true","2","0.05","0.34","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","11.976744186046512","0.8412356070085203","0.8540381501321014","1.1871366279069768","0.097","0.044","0.2019048440881459","-0.1503292438867224","0.25610648931674745","0.26362449365361834","0.22961004314921468","-0.16657474969309993","0.21027654314188718","-0.1803308735013258","0.2428514776870886","-0.14302368173306962"
"29","1","true","2","0.05","0.33","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.155038759689917","0.8438760249101037","0.8693557396039641","1.189922480620155","0.098","0.041","0.2983410944959603","-0.3152971667023351","0.2816670591155155","0.2695724417867585","0.3339295175712499","-0.34845492313942017","0.3242854236941438","-0.3637559378289973","0.3556409169676339","-0.33992293581049815"
"26","1","true","2","0.05","0.3","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","11.968992248062014","0.8490504765870236","0.8680787533181256","1.187015503875969","0.104","0.046","0.13547194688275463","-0.11550450025010199","0.2594717997928717","0.27152644282224153","0.15199771602021722","-0.12350210424771305","0.13395332506592791","-0.1361190280510604","0.1620495493214859","-0.10756521127821092"
"25","1","true","2","0.05","0.29","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.147286821705418","0.8435572163541191","0.8659554274332651","1.1898013565891472","0.104","0.058","0.0624123791341728","-0.0960411613212196","0.29507419473146373","0.28956727162734186","0.057975263613523384","-0.10814572664635821","0.030669899449799372","-0.1251081597226635","0.07226082104095155","-0.09715999822450684"
"24","1","true","2","0.05","0.28","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.217054263565895","0.8455241597857709","0.8585812458486908","1.190891472868217","0.116","0.054","0.15071070757885244","-0.10128646834329004","0.2770779342452892","0.3003086047029436","0.16936539318131946","-0.1116674802311552","0.14598466200657323","-0.12752040518566066","0.1824453021118953","-0.09152257788182712"
"28","1","true","2","0.05","0.32","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.054263565891475","0.8520433203845723","0.8590953022727108","1.1883478682170543","0.104","0.052","0.1966194162491849","-0.18740398279782733","0.28504477410788287","0.27276247990413","0.23004923872679808","-0.19560794503219864","0.2097066777322325","-0.2166644742994611","0.246173905854003","-0.17129968779362442"
"21","1","true","2","0.05","0.25","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.232558139534882","0.8383223851748476","0.856839871380816","1.1911337209302326","0.14","0.071","0.10719621240381592","-0.034375275479518144","0.28758856967772267","0.3366493501087237","0.10860488996769305","-0.04472609253353165","0.09006249087309046","-0.06776823187635306","0.133372595734703","-0.007212365343153293"
