"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity.nlogo"
"regularExperimentPart54"
"03/30/2022 05:56:41:897 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","use_identity?","opinions","id_threshold","boundary","max-ticks","p-random","n-neis","mode","record-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","network-change","tolerance-level","p-speaking-level","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","conformity-level","threshold_drawn","identity_type","X-opinion","cut-links-randomly?","record?","updating","set-seed?","polar_repeats","Y-opinion","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","sd_op1_start","sd_op2_start","median_op1_start","median_op2_start","lower_op1_start","lower_op2_start","upper_op1_start","upper_op2_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","sd_op1_final","sd_op2_final","median_op1_final","median_op2_final","lower_op1_final","lower_op2_final","upper_op1_final","upper_op2_final"
"32","106","true","2","0.05","0.36","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","11.635658914728682","0.8417223336778262","0.8547226004758266","1.1818071705426356","0.045","0.018","-0.07862964697315551","0.32531511061894003","0.2165020721902356","0.19794877316763168","-0.1206313038744194","0.33957126091063083","-0.12708365465080057","0.33422844090273385","-0.1110375490171879","0.3470027312603046"
"31","106","true","2","0.05","0.35","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","10.604651162790697","0.852113472501733","0.8650145277777338","1.1656976744186047","0.071","0.015","-0.1976736643947506","0.3354667303342292","0.22589405866596768","0.18734296731208344","-0.21986196267759497","0.33986623544212924","-0.22686532761644232","0.33196439020260016","-0.21392716349785967","0.34727761829763415"
"30","106","true","2","0.05","0.34","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","10.72868217054263","0.8559740941243128","0.8723644565212579","1.1676356589147288","0.028","0.008","-0.17162099618691382","0.32309926305103714","0.19009720343071523","0.17818107425345459","-0.20088347015636132","0.33326525494533676","-0.20487690545821258","0.3282359797779285","-0.1958003365267021","0.337560567237249"
"29","106","true","2","0.05","0.33","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","10.410852713178295","0.8592290394658724","0.8692738187528952","1.162669573643411","0.047","0.02","-0.12271039550403709","0.4032097775119815","0.21923388247293304","0.19821069498170552","-0.14285243237508216","0.41243178297698774","-0.14497071748700602","0.4007619830265125","-0.13864610516511097","0.4239128414772883"
"28","106","true","2","0.05","0.32","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","10.868217054263566","0.8494401302514717","0.8640529511231128","1.1698158914728682","0.064","0.019","-0.10332798027484257","0.424852040924012","0.22784140169919415","0.2002187841642076","-0.11615750585860068","0.4372582099671344","-0.1232394314715134","0.42468618526159274","-0.10316766763418422","0.4452495634526872"
"27","106","true","2","0.05","0.31","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","10.348837209302332","0.8665104315887819","0.8708431297563133","1.161700581395349","0.049","0.015","-0.07500084353777449","0.3943485560243238","0.20717404174871776","0.19477541588052377","-0.10477276374857242","0.4064501658468929","-0.11177172901962432","0.40055123788869595","-0.09750111182647918","0.4108853852404666"
"24","106","true","2","0.05","0.28","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","12.465116279069766","0.8478511133167759","0.8831046557977702","1.194767441860465","0.09","0.03","-0.1440155228481178","0.343551354699993","0.2705168317754491","0.22472314867347123","-0.1869018085670737","0.36300109192497515","-0.19243018989828936","0.353636087932605","-0.18219236775192865","0.3718790708445686"
"19","106","true","2","0.05","0.23","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","12.000000000000002","0.8495251272227804","0.877932337981209","1.1875","0.185","0.068","-0.07695791501865423","0.18099408220651866","0.38630243207112547","0.28896626027604244","-0.17926945783842912","0.2203166914897256","-0.19511646036067856","0.19081286504016687","-0.10183402032766381","0.2448784716323439"
"25","106","true","2","0.05","0.29","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","11.44186046511628","0.8685237907218571","0.8620308590855109","1.1787790697674418","0.107","0.032","-0.23210767669275126","0.2815679648704211","0.2811013255536915","0.21946998214421234","-0.2583839240557234","0.27803200166267134","-0.2737423718719595","0.27071991737583684","-0.24412845694647864","0.2827206424926611"
"26","106","true","2","0.05","0.3","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","11.302325581395348","0.8575523845780769","0.8769066226164375","1.1765988372093024","0.071","0.034","-0.17264758248381698","0.30888403289286015","0.24348542700583412","0.23472475769308307","-0.19312598831557998","0.3239979166296339","-0.20627275958866087","0.317928296839569","-0.18247181169649673","0.33769442232670777"
