"search-number","evaluation","evals-requested-so-far","conformity-level*","conformity-drawn*","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","network-change*","random-network-change?*","n_centroids*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","polarisation-each-n-steps*","polar_repeats*","opinions*","model*","record-each-n-steps*","avoid-redundancies?*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","construct-name?*","record?*","hk-benchmark?*","max-ticks*","n-agents*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","150","0.45000000000000007","""uniform""","37","0.21","0.6","""uniform""","0.54","""uniform""","""vaguely-speak""","0.5800000000000001","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","""741836506""","0.047","0.047","0.047","0","0.047"
"1","2","150","0.45000000000000007","""uniform""","37","0.21","0.6","""uniform""","0.54","""uniform""","""vaguely-speak""","0.5800000000000001","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","""592612294""","0","0","0","0","0"
"1","3","150","0.45000000000000007","""uniform""","37","0.21","0.6","""uniform""","0.54","""uniform""","""vaguely-speak""","0.5800000000000001","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","""-1905524811""","0.025","0.025","0.025","0","0.025"
"1","4","150","0.45000000000000007","""uniform""","37","0.21","0.6","""uniform""","0.54","""uniform""","""vaguely-speak""","0.5800000000000001","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","""-1752626409""","0.075","0.075","0.075","0","0.075"
"1","5","150","0.45000000000000007","""uniform""","37","0.21","0.6","""uniform""","0.54","""uniform""","""vaguely-speak""","0.5800000000000001","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","""303607215""","0.048","0.048","0.048","0","0.048"
"1","6","150","0.35","""uniform""","42","0.24","0.53","""uniform""","0.35000000000000003","""uniform""","""vaguely-speak""","0.76","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","""648019797""","0","0","0","0","0"
"1","7","150","0.35","""uniform""","42","0.24","0.53","""uniform""","0.35000000000000003","""uniform""","""vaguely-speak""","0.76","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","""904135289""","0.024","0.024","0.024","0","0.024"
"1","8","150","0.35","""uniform""","42","0.24","0.53","""uniform""","0.35000000000000003","""uniform""","""vaguely-speak""","0.76","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","""1710193231""","0","0","0","0","0"
"1","9","150","0.35","""uniform""","42","0.24","0.53","""uniform""","0.35000000000000003","""uniform""","""vaguely-speak""","0.76","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","""-1762797465""","0.009","0.009","0.009","0","0.009"
"1","10","150","0.35","""uniform""","42","0.24","0.53","""uniform""","0.35000000000000003","""uniform""","""vaguely-speak""","0.76","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","""996533333""","0.024","0.024","0.024","0","0.024"
