random-seed,20
conformity-mean,0.2
conformity-sd,0
conformity-distribution,normal
HK-distribution,false
N,101
boundary-mean,0.1
boundary-sd,0.05
boundary-distribution,normal
SPIRO-mean,0.25
SPIRO-sd,0
SPIRO-distribution,normal
Identity-Type,global
Identity-Levels,7
Use_Identity?,true
timeStep, agentID, opinion, previousOpinion, boundary, conformity, SPIRO, groupNumber
0,99,[0.367],[0.369],0.118,0.2,0.25,204
0,11,[0.3132],[0.316],0.094,0.2,0.25,204
0,56,[0.20779999999999998],[0.206],0.087,0.2,0.25,204
0,59,[-0.3722],[-0.364],0.14,0.2,0.25,203
0,48,[0.0228],[0.019],0.075,0.2,0.25,204
0,8,[0.2548],[0.255],0.016,0.2,0.25,204
0,40,[-0.7308],[-0.729],0.066,0.2,0.25,203
0,63,[0.5864],[0.593],0.099,0.2,0.25,204
0,75,[-0.3126],[-0.318],0.068,0.2,0.25,203
0,86,[-0.8104],[-0.818],0.146,0.2,0.25,203
0,18,[-0.7262],[-0.724],0.054,0.2,0.25,203
0,67,[-0.7286],[-0.732],0.151,0.2,0.25,203
0,74,[-0.3676],[-0.366],0.095,0.2,0.25,203
0,45,[0.40159999999999996],[0.41],0.182,0.2,0.25,204
0,91,[-0.6948],[-0.705],0.209,0.2,0.25,203
0,31,[0.3856],[0.39],0.082,0.2,0.25,204
0,79,[0.18059999999999998],[0.179],0.09,0.2,0.25,204
0,60,[-0.0074],[-0.012],0.035,0.2,0.25,204
0,100,[-0.7658],[-0.766],0.092,0.2,0.25,203
0,65,[0.234],[0.233],0.122,0.2,0.25,204
0,69,[-0.617],[-0.614],0.066,0.2,0.25,203
0,64,[-0.6382],[-0.638],0.171,0.2,0.25,203
0,23,[-0.13419999999999999],[-0.118],0.077,0.2,0.25,203
0,26,[-0.4954],[-0.487],0.169,0.2,0.25,203
0,88,[0.069],[0.047],0.144,0.2,0.25,204
0,3,[0.5796],[0.584],0.043,0.2,0.25,204
0,47,[0.2404],[0.236],0.158,0.2,0.25,204
0,0,[-0.897],[-0.916],0.109,0.2,0.25,203
0,55,[-0.0062],[-0.014],0.065,0.2,0.25,204
0,15,[-0.9634],[-0.999],0.17,0.2,0.25,203
0,50,[0.539],[0.542],0.091,0.2,0.25,204
0,62,[0.089],[0.076],0.108,0.2,0.25,204
0,95,[-0.35540000000000005],[-0.343],0.176,0.2,0.25,203
0,98,[-0.63],[-0.625],0.12,0.2,0.25,203
0,71,[0.6984],[0.708],0.114,0.2,0.25,204
0,10,[0.194],[0.189],0.05,0.2,0.25,204
0,94,[0.7236],[0.73],0.138,0.2,0.25,204
0,29,[-0.5156000000000001],[-0.512],0.111,0.2,0.25,203
0,78,[-0.4944],[-0.483],0.199,0.2,0.25,203
0,16,[-0.5808],[-0.577],0.109,0.2,0.25,203
0,14,[-0.7974],[-0.804],0.051,0.2,0.25,203
0,96,[0.2672],[0.265],0.206,0.2,0.25,204
0,33,[-0.2978],[-0.294],0.087,0.2,0.25,203
0,42,[-0.9269999999999999],[-0.951],0.121,0.2,0.25,203
0,41,[-0.4704],[-0.469],0.128,0.2,0.25,203
0,82,[-0.9892],[-0.999],0.053,0.2,0.25,203
0,34,[0.8363999999999999],[0.835],0.055,0.2,0.25,204
0,61,[0.2652],[0.267],0.15,0.2,0.25,204
0,37,[0.5124],[0.519],0.086,0.2,0.25,204
0,70,[0.408],[0.412],0.074,0.2,0.25,204
0,54,[-0.0676],[-0.1],0.146,0.2,0.25,204
0,97,[-0.3982],[-0.396],0.069,0.2,0.25,203
0,81,[-0.833],[-0.833],0.049,0.2,0.25,203
0,46,[-0.22840000000000002],[-0.229],0.031,0.2,0.25,203
0,21,[-0.509],[-0.509],0.106,0.2,0.25,203
0,77,[0.0126],[0.013],0.019,0.2,0.25,204
0,39,[0.291],[0.291],0.003,0.2,0.25,204
0,87,[0.445],[0.449],0.033,0.2,0.25,204
0,25,[0.9176],[0.944],0.16,0.2,0.25,204
0,35,[-0.4592],[-0.462],0.114,0.2,0.25,203
0,12,[0.121],[0.112],0.12,0.2,0.25,204
0,24,[0.326],[0.326],0.027,0.2,0.25,204
0,58,[-0.8296],[-0.842],0.164,0.2,0.25,203
0,28,[-0.8886000000000001],[-0.903],0.095,0.2,0.25,203
0,2,[-0.505],[-0.494],0.186,0.2,0.25,203
0,17,[-0.897],[-0.916],0.13,0.2,0.25,203
0,93,[0.71],[0.71],0.037,0.2,0.25,204
0,4,[0.1542],[0.151],0.047,0.2,0.25,204
0,85,[0.9604],[0.984],0.134,0.2,0.25,204
0,20,[-0.7312],[-0.728],0.098,0.2,0.25,203
0,76,[-0.6113999999999999],[-0.611],0.037,0.2,0.25,203
0,52,[-0.1886],[-0.186],0.043,0.2,0.25,203
0,73,[-0.8328],[-0.846],0.161,0.2,0.25,203
0,66,[-0.9086000000000001],[-0.928],0.11,0.2,0.25,203
0,90,[-0.719],[-0.72],0.144,0.2,0.25,203
0,44,[-0.7143999999999999],[-0.715],0.121,0.2,0.25,203
0,57,[0.4772],[0.489],0.142,0.2,0.25,204
0,38,[0.8069999999999999],[0.838],0.199,0.2,0.25,204
0,53,[0.8593999999999999],[0.863],0.02,0.2,0.25,204
0,7,[-0.738],[-0.739],0.125,0.2,0.25,203
0,80,[0.6924],[0.694],0.085,0.2,0.25,204
0,92,[0.5334],[0.532],0.046,0.2,0.25,204
0,30,[-0.47919999999999996],[-0.473],0.136,0.2,0.25,203
0,22,[-0.2968],[-0.278],0.153,0.2,0.25,203
0,27,[-0.2798],[-0.259],0.146,0.2,0.25,203
0,32,[-0.7694],[-0.783],0.175,0.2,0.25,203
0,49,[-0.2254],[-0.214],0.087,0.2,0.25,203
0,68,[-0.8096000000000001],[-0.81],0.095,0.2,0.25,203
0,43,[-0.747],[-0.755],0.15,0.2,0.25,203
0,84,[-0.7008],[-0.703],0.172,0.2,0.25,203
0,36,[-0.5388000000000001],[-0.532],0.156,0.2,0.25,203
0,89,[0.4162],[0.426],0.184,0.2,0.25,204
0,72,[-0.303],[-0.306],0.063,0.2,0.25,203
0,19,[-0.48240000000000005],[-0.468],0.196,0.2,0.25,203
0,83,[0.2676],[0.27],0.059,0.2,0.25,204
0,51,[0.21],[0.205],0.144,0.2,0.25,204
0,13,[0.5966],[0.6],0.088,0.2,0.25,204
0,6,[-0.3382],[-0.332],0.108,0.2,0.25,203
0,1,[0.0912],[0.083],0.086,0.2,0.25,204
0,9,[-0.9692],[-0.991],0.113,0.2,0.25,203
0,5,[-0.2254],[-0.191],0.174,0.2,0.25,203
1,76,[-0.6097199999999999],[-0.6113999999999999],0.037,0.2,0.25,205
1,60,[-0.00772],[-0.0074],0.035,0.2,0.25,206
1,2,[-0.5124],[-0.505],0.186,0.2,0.25,205
1,23,[-0.15016],[-0.13419999999999999],0.077,0.2,0.25,205
1,74,[-0.37028],[-0.3676],0.095,0.2,0.25,205
1,8,[0.25484],[0.2548],0.016,0.2,0.25,206
1,11,[0.31056],[0.3132],0.094,0.2,0.25,206
1,12,[0.1292],[0.121],0.12,0.2,0.25,206
1,50,[0.5356000000000001],[0.539],0.091,0.2,0.25,206
1,56,[0.20984],[0.20779999999999998],0.087,0.2,0.25,206
1,69,[-0.6208],[-0.617],0.066,0.2,0.25,205
1,83,[0.26608],[0.2676],0.059,0.2,0.25,206
1,95,[-0.37032000000000004],[-0.35540000000000005],0.176,0.2,0.25,205
1,33,[-0.30004000000000003],[-0.2978],0.087,0.2,0.25,205
1,70,[0.40399999999999997],[0.408],0.074,0.2,0.25,206
1,9,[-0.94756],[-0.9692],0.113,0.2,0.25,205
1,84,[-0.69824],[-0.7008],0.172,0.2,0.25,205
1,38,[0.7777999999999999],[0.8069999999999999],0.199,0.2,0.25,206
1,28,[-0.8742800000000001],[-0.8886000000000001],0.095,0.2,0.25,205
1,34,[0.84012],[0.8363999999999999],0.055,0.2,0.25,206
1,43,[-0.7398],[-0.747],0.15,0.2,0.25,205
1,18,[-0.73036],[-0.7262],0.054,0.2,0.25,205
1,4,[0.15596000000000002],[0.1542],0.047,0.2,0.25,206
1,22,[-0.31324],[-0.2968],0.153,0.2,0.25,205
1,26,[-0.50652],[-0.4954],0.169,0.2,0.25,205
1,16,[-0.58544],[-0.5808],0.109,0.2,0.25,205
1,87,[0.4404],[0.445],0.033,0.2,0.25,206
1,15,[-0.93072],[-0.9634],0.17,0.2,0.25,205
1,5,[-0.25451999999999997],[-0.2254],0.174,0.2,0.25,205
1,61,[0.26396],[0.2652],0.15,0.2,0.25,206
1,100,[-0.7658400000000001],[-0.7658],0.092,0.2,0.25,205
1,64,[-0.63796],[-0.6382],0.171,0.2,0.25,205
1,57,[0.46556000000000003],[0.4772],0.142,0.2,0.25,206
1,1,[0.09656],[0.0912],0.086,0.2,0.25,206
1,41,[-0.47071999999999997],[-0.4704],0.128,0.2,0.25,205
1,72,[-0.30219999999999997],[-0.303],0.063,0.2,0.25,205
1,44,[-0.71212],[-0.7143999999999999],0.121,0.2,0.25,205
