random-seed,20
conformity-mean,0.2
conformity-sd,0
conformity-distribution,normal
HK-distribution,false
N,101
boundary-mean,0.1
boundary-sd,0.1
boundary-distribution,normal
SPIRO-mean,0.85
SPIRO-sd,0
SPIRO-distribution,normal
Identity-Type,global
Identity-Levels,7
Use_Identity?,true
timeStep, agentID, opinion, previousOpinion, boundary, conformity, SPIRO, groupNumber
0,63,[-0.238],[-0.214],0.28,0.2,0.85,205
0,46,[-0.0384],[-0.054],0.081,0.2,0.85,207
0,43,[0.365],[0.373],0.07,0.2,0.85,207
0,77,[0.1652],[0.168],0.094,0.2,0.85,207
0,4,[-0.8119999999999999],[-0.818],0.139,0.2,0.85,208
0,72,[0.33099999999999996],[0.359],0.182,0.2,0.85,207
0,5,[0.39239999999999997],[0.411],0.11,0.2,0.85,207
0,32,[-0.3618],[-0.363],0.111,0.2,0.85,205
0,71,[0.08560000000000001],[0.083],0.072,0.2,0.85,207
0,93,[-0.4292],[-0.453],0.244,0.2,0.85,205
0,27,[0.3896],[0.413],0.121,0.2,0.85,207
0,99,[-0.7626000000000001],[-0.764],0.056,0.2,0.85,208
0,75,[-0.8808],[-0.904],0.247,0.2,0.85,208
0,10,[0.8546],[0.875],0.151,0.2,0.85,206
0,11,[0.1718],[0.167],0.15,0.2,0.85,207
0,0,[-0.8988],[-0.916],0.118,0.2,0.85,208
0,85,[-0.8902],[-0.916],0.159,0.2,0.85,208
0,94,[0.724],[0.73],0.245,0.2,0.85,206
0,18,[-0.9128],[-0.944],0.208,0.2,0.85,208
0,29,[-0.6386],[-0.615],0.146,0.2,0.85,208
0,47,[-0.505],[-0.519],0.089,0.2,0.85,205
0,21,[-0.1716],[-0.152],0.111,0.2,0.85,205
0,24,[-0.4434],[-0.452],0.102,0.2,0.85,205
0,61,[0.1134],[0.094],0.299,0.2,0.85,207
0,6,[0.7078],[0.71],0.111,0.2,0.85,206
0,1,[-0.324],[-0.324],0.005,0.2,0.85,205
0,19,[-0.676],[-0.666],0.089,0.2,0.85,208
0,40,[-0.7398],[-0.728],0.204,0.2,0.85,208
0,41,[-0.7432],[-0.732],0.201,0.2,0.85,208
0,73,[0.5542],[0.542],0.09,0.2,0.85,206
0,70,[0.40859999999999996],[0.412],0.047,0.2,0.85,207
0,79,[0.1782],[0.179],0.017,0.2,0.85,207
0,28,[0.2886],[0.313],0.348,0.2,0.85,207
0,20,[0.1784],[0.177],0.038,0.2,0.85,207
0,96,[-0.7616],[-0.755],0.2,0.2,0.85,208
0,62,[-0.1524],[-0.128],0.161,0.2,0.85,205
0,44,[0.7373999999999999],[0.738],0.057,0.2,0.85,206
0,69,[-0.4686],[-0.494],0.165,0.2,0.85,205
0,26,[0.7063999999999999],[0.708],0.128,0.2,0.85,206
0,58,[-0.491],[-0.509],0.113,0.2,0.85,205
0,35,[0.27180000000000004],[0.27],0.017,0.2,0.85,207
0,53,[0.6951999999999999],[0.694],0.204,0.2,0.85,206
0,45,[0.36619999999999997],[0.41],0.263,0.2,0.85,207
0,64,[0.0504],[0.039],0.091,0.2,0.85,207
0,76,[-0.6214],[-0.611],0.065,0.2,0.85,208
0,39,[0.27099999999999996],[0.291],0.204,0.2,0.85,207
0,65,[0.17020000000000002],[0.165],0.203,0.2,0.85,207
0,9,[0.5292],[0.493],0.213,0.2,0.85,206
0,95,[0.1894],[0.189],0.3,0.2,0.85,207
0,88,[0.047],[0.047],0.003,0.2,0.85,207
0,37,[0.9318],[0.944],0.088,0.2,0.85,206
0,25,[0.2884],[0.289],0.018,0.2,0.85,207
0,54,[0.103],[0.092],0.14,0.2,0.85,207
0,57,[0.6884],[0.694],0.069,0.2,0.85,206
0,98,[0.8363999999999999],[0.835],0.01,0.2,0.85,206
0,33,[-0.2898],[-0.294],0.074,0.2,0.85,205
0,36,[-0.4994],[-0.512],0.088,0.2,0.85,205
0,17,[0.8546],[0.875],0.14,0.2,0.85,206
0,82,[0.4886],[0.476],0.062,0.2,0.85,206
0,92,[0.217],[0.217],0.003,0.2,0.85,207
0,3,[0.8934000000000001],[0.92],0.15,0.2,0.85,206
0,8,[-0.7056],[-0.69],0.14,0.2,0.85,208
0,86,[0.5306000000000001],[0.525],0.078,0.2,0.85,206
0,48,[0.02],[0.019],0.05,0.2,0.85,207
0,22,[0.0026000000000000007],[-0.007],0.082,0.2,0.85,207
0,51,[0.22460000000000002],[0.233],0.333,0.2,0.85,207
0,50,[0.5594],[0.562],0.038,0.2,0.85,206
0,30,[-0.4514],[-0.452],0.062,0.2,0.85,205
0,60,[-0.7584],[-0.761],0.065,0.2,0.85,208
0,38,[-0.7822],[-0.781],0.242,0.2,0.85,208
0,42,[0.6042],[0.6],0.076,0.2,0.85,206
0,34,[-0.2112],[-0.209],0.061,0.2,0.85,205
0,2,[0.572],[0.572],0.002,0.2,0.85,206
0,81,[0.2062],[0.21],0.143,0.2,0.85,207
0,16,[-0.634],[-0.634],0.006,0.2,0.85,208
0,100,[-0.0226],[-0.049],0.128,0.2,0.85,207
0,74,[0.1382],[0.125],0.198,0.2,0.85,207
0,87,[0.8533999999999999],[0.849],0.036,0.2,0.85,206
0,67,[-0.4572],[-0.462],0.07,0.2,0.85,205
0,90,[-0.962],[-0.995],0.162,0.2,0.85,208
0,84,[0.22460000000000002],[0.233],0.212,0.2,0.85,207
0,23,[0.6558],[0.656],0.059,0.2,0.85,206
0,91,[-0.35159999999999997],[-0.356],0.217,0.2,0.85,205
0,89,[-0.796],[-0.797],0.028,0.2,0.85,208
0,7,[-0.3072],[-0.306],0.027,0.2,0.85,205
0,14,[0.0258],[0.013],0.086,0.2,0.85,207
0,78,[0.3486],[0.388],0.313,0.2,0.85,207
0,80,[0.1566],[0.148],0.231,0.2,0.85,207
0,52,[-0.2156],[-0.186],0.204,0.2,0.85,205
0,56,[-0.704],[-0.688],0.141,0.2,0.85,208
0,83,[-0.229],[-0.229],0.002,0.2,0.85,205
0,55,[-0.0128],[-0.014],0.019,0.2,0.85,207
0,15,[-0.8341999999999999],[-0.846],0.274,0.2,0.85,208
0,49,[-0.6262],[-0.602],0.144,0.2,0.85,208
0,12,[-0.9828],[-0.999],0.093,0.2,0.85,208
0,13,[-0.1],[-0.1],0.002,0.2,0.85,205
0,68,[-0.8068000000000001],[-0.81],0.09,0.2,0.85,208
0,31,[-0.28400000000000003],[-0.281],0.095,0.2,0.85,205
0,66,[-0.8998],[-0.928],0.26,0.2,0.85,208
0,59,[-0.358],[-0.364],0.18,0.2,0.85,205
0,97,[0.2538],[0.266],0.15,0.2,0.85,207
1,96,[-0.7662800000000001],[-0.7616],0.2,0.2,0.85,212
1,62,[-0.18352000000000002],[-0.1524],0.161,0.2,0.85,210
1,55,[-0.011040000000000001],[-0.0128],0.019,0.2,0.85,211
1,34,[-0.21476],[-0.2112],0.061,0.2,0.85,210
1,17,[0.83708],[0.8546],0.14,0.2,0.85,209
1,74,[0.14816],[0.1382],0.198,0.2,0.85,211
1,95,[0.18912],[0.1894],0.3,0.2,0.85,211
1,69,[-0.44388],[-0.4686],0.165,0.2,0.85,210
1,82,[0.50048],[0.4886],0.062,0.2,0.85,209
1,65,[0.17376000000000003],[0.17020000000000002],0.203,0.2,0.85,211
1,23,[0.65564],[0.6558],0.059,0.2,0.85,209
1,67,[-0.45136],[-0.4572],0.07,0.2,0.85,210
1,68,[-0.8038400000000001],[-0.8068000000000001],0.09,0.2,0.85,212
1,15,[-0.82436],[-0.8341999999999999],0.274,0.2,0.85,212
1,100,[0.004520000000000003],[-0.0226],0.128,0.2,0.85,211
1,57,[0.68172],[0.6884],0.069,0.2,0.85,209
1,43,[0.3552],[0.365],0.07,0.2,0.85,211
1,18,[-0.8872399999999999],[-0.9128],0.208,0.2,0.85,212
1,93,[-0.41016],[-0.4292],0.244,0.2,0.85,210
1,47,[-0.4916],[-0.505],0.089,0.2,0.85,210
1,51,[0.21728000000000003],[0.22460000000000002],0.333,0.2,0.85,211
1,27,[0.36428],[0.3896],0.121,0.2,0.85,211
1,50,[0.5571200000000001],[0.5594],0.038,0.2,0.85,209
1,8,[-0.72148],[-0.7056],0.14,0.2,0.85,212
1,76,[-0.63252],[-0.6214],0.065,0.2,0.85,212
1,45,[0.33055999999999996],[0.36619999999999997],0.263,0.2,0.85,211
1,58,[-0.473],[-0.491],0.113,0.2,0.85,210
1,98,[0.83912],[0.8363999999999999],0.01,0.2,0.85,209
1,4,[-0.8066],[-0.8119999999999999],0.139,0.2,0.85,212
1,73,[0.56676],[0.5542],0.09,0.2,0.85,209
1,1,[-0.324],[-0.324],0.005,0.2,0.85,210
1,59,[-0.3532],[-0.358],0.18,0.2,0.85,210
1,80,[0.16288],[0.1566],0.231,0.2,0.85,211
1,12,[-0.96224],[-0.9828],0.093,0.2,0.85,212
1,87,[0.85432],[0.8533999999999999],0.036,0.2,0.85,209
1,40,[-0.7488400000000001],[-0.7398],0.204,0.2,0.85,212
1,53,[0.6959599999999999],[0.6951999999999999],0.204,0.2,0.85,209
1,78,[0.31648000000000004],[0.3486],0.313,0.2,0.85,211
1,31,[-0.2888],[-0.28400000000000003],0.095,0.2,0.85,210
1,2,[0.572],[0.572],0.002,0.2,0.85,209
1,86,[0.53688],[0.5306000000000001],0.078,0.2,0.85,209
1,48,[0.0228],[0.02],0.05,0.2,0.85,211
1,81,[0.20256],[0.2062],0.143,0.2,0.85,211
1,39,[0.25439999999999996],[0.27099999999999996],0.204,0.2,0.85,211
1,91,[-0.34808],[-0.35159999999999997],0.217,0.2,0.85,210
1,10,[0.8298800000000001],[0.8546],0.151,0.2,0.85,209
1,41,[-0.75156],[-0.7432],0.201,0.2,0.85,212
1,46,[-0.023919999999999997],[-0.0384],0.081,0.2,0.85,211
1,36,[-0.48512],[-0.4994],0.088,0.2,0.85,210
1,9,[0.56316],[0.5292],0.213,0.2,0.85,209
1,28,[0.26848],[0.2886],0.348,0.2,0.85,211
1,92,[0.217],[0.217],0.003,0.2,0.85,211
1,75,[-0.8616400000000001],[-0.8808],0.247,0.2,0.85,212
1,13,[-0.1],[-0.1],0.002,0.2,0.85,210
1,38,[-0.78276],[-0.7822],0.242,0.2,0.85,212
1,14,[0.03884],[0.0258],0.086,0.2,0.85,211
1,16,[-0.6332],[-0.634],0.006,0.2,0.85,212
1,85,[-0.86916],[-0.8902],0.159,0.2,0.85,212
1,77,[0.16456],[0.1652],0.094,0.2,0.85,211
1,7,[-0.31076],[-0.3072],0.027,0.2,0.85,210
1,71,[0.09108000000000001],[0.08560000000000001],0.072,0.2,0.85,211
1,11,[0.17504],[0.1718],0.15,0.2,0.85,211
1,33,[-0.28784],[-0.2898],0.074,0.2,0.85,210
1,90,[-0.9309999999999999],[-0.962],0.162,0.2,0.85,212
1,99,[-0.7620800000000001],[-0.7626000000000001],0.056,0.2,0.85,212
1,35,[0.27244],[0.27180000000000004],0.017,0.2,0.85,211
1,89,[-0.7928000000000001],[-0.796],0.028,0.2,0.85,212
1,49,[-0.65456],[-0.6262],0.144,0.2,0.85,212
