random-seed,1
conformity-mean,0.2
conformity-sd,0
conformity-distribution,normal
HK-distribution,false
N,101
boundary-mean,0.3
boundary-sd,0
boundary-distribution,normal
SPIRO-mean,0.25
SPIRO-sd,0
SPIRO-distribution,normal
Identity-Type,global
Identity-Levels,7
Use_Identity?,true
timeStep, agentID, opinion, previousOpinion, boundary, conformity, SPIRO, groupNumber
0,9,[0.5578],[0.599],0.3,0.2,0.25,204
0,70,[0.6004],[0.648],0.3,0.2,0.25,204
0,19,[0.1222],[0.081],0.3,0.2,0.25,204
0,53,[-0.5032],[-0.491],0.3,0.2,0.25,203
0,59,[-0.8794000000000001],[-0.935],0.3,0.2,0.25,203
0,57,[-0.5736],[-0.579],0.3,0.2,0.25,203
0,74,[-0.015399999999999997],[-0.069],0.3,0.2,0.25,204
0,62,[-0.2406],[-0.187],0.3,0.2,0.25,203
0,50,[0.9152],[0.984],0.3,0.2,0.25,204
0,36,[0.4892],[0.52],0.3,0.2,0.25,204
0,39,[-0.448],[-0.422],0.3,0.2,0.25,203
0,35,[0.1238],[0.083],0.3,0.2,0.25,204
0,75,[-0.7454000000000001],[-0.781],0.3,0.2,0.25,203
0,43,[-0.5568000000000001],[-0.558],0.3,0.2,0.25,203
0,77,[-0.5968],[-0.608],0.3,0.2,0.25,203
0,58,[-0.7218],[-0.758],0.3,0.2,0.25,203
0,31,[-0.9308],[-0.989],0.3,0.2,0.25,203
0,23,[0.5114000000000001],[0.543],0.3,0.2,0.25,204
0,88,[-0.2734],[-0.224],0.3,0.2,0.25,203
0,17,[0.1978],[0.168],0.3,0.2,0.25,204
0,100,[-0.7908],[-0.831],0.3,0.2,0.25,203
0,10,[0.09720000000000001],[0.052],0.3,0.2,0.25,204
0,54,[-0.48719999999999997],[-0.471],0.3,0.2,0.25,203
0,12,[-0.2598],[-0.209],0.3,0.2,0.25,203
0,55,[-0.2],[-0.147],0.3,0.2,0.25,203
0,98,[-0.1688],[-0.108],0.3,0.2,0.25,203
0,29,[0.45799999999999996],[0.481],0.3,0.2,0.25,204
0,84,[0.263],[0.247],0.3,0.2,0.25,204
0,48,[0.4692],[0.495],0.3,0.2,0.25,204
0,11,[-0.8482000000000001],[-0.898],0.3,0.2,0.25,203
0,69,[0.5418],[0.581],0.3,0.2,0.25,204
0,46,[0.7344],[0.782],0.3,0.2,0.25,204
0,99,[-0.6112],[-0.626],0.3,0.2,0.25,203
0,27,[-0.6144000000000001],[-0.63],0.3,0.2,0.25,203
0,83,[-0.5984],[-0.61],0.3,0.2,0.25,203
0,28,[0.2446],[0.224],0.3,0.2,0.25,204
0,97,[0.6078],[0.655],0.3,0.2,0.25,204
0,60,[0.3706],[0.375],0.3,0.2,0.25,204
0,52,[-0.7494000000000001],[-0.786],0.3,0.2,0.25,203
0,93,[-0.6512],[-0.676],0.3,0.2,0.25,203
0,67,[0.5714],[0.616],0.3,0.2,0.25,204
0,47,[0.5369999999999999],[0.575],0.3,0.2,0.25,204
0,5,[-0.22519999999999998],[-0.174],0.3,0.2,0.25,203
0,86,[-0.917],[-0.976],0.3,0.2,0.25,203
0,15,[0.2542],[0.236],0.3,0.2,0.25,204
0,7,[-0.3718],[-0.338],0.3,0.2,0.25,203
0,95,[0.0734],[0.027],0.3,0.2,0.25,204
0,63,[0.08480000000000001],[0.039],0.3,0.2,0.25,204
0,90,[-0.9299999999999999],[-0.988],0.3,0.2,0.25,203
0,71,[-0.3402],[-0.303],0.3,0.2,0.25,203
0,13,[-0.221],[-0.171],0.3,0.2,0.25,203
0,8,[-0.291],[-0.244],0.3,0.2,0.25,203
0,51,[-0.2854],[-0.237],0.3,0.2,0.25,203
0,91,[0.704],[0.747],0.3,0.2,0.25,204
0,81,[0.8636],[0.928],0.3,0.2,0.25,204
0,87,[0.525],[0.56],0.3,0.2,0.25,204
0,22,[0.17579999999999998],[0.143],0.3,0.2,0.25,204
0,6,[-0.405],[-0.377],0.3,0.2,0.25,203
0,42,[-0.7348],[-0.772],0.3,0.2,0.25,203
0,3,[0.1238],[0.083],0.3,0.2,0.25,204
0,65,[0.1246],[0.084],0.3,0.2,0.25,204
0,26,[-0.5168],[-0.508],0.3,0.2,0.25,203
0,61,[-0.3862],[-0.356],0.3,0.2,0.25,203
0,21,[-0.47040000000000004],[-0.45],0.3,0.2,0.25,203
0,94,[-0.2236],[-0.172],0.3,0.2,0.25,203
0,72,[0.12619999999999998],[0.086],0.3,0.2,0.25,204
0,82,[-0.4006],[-0.374],0.3,0.2,0.25,203
0,79,[-0.8794000000000001],[-0.935],0.3,0.2,0.25,203
0,92,[-0.6104],[-0.625],0.3,0.2,0.25,203
0,76,[-0.5984],[-0.61],0.3,0.2,0.25,203
0,73,[0.2262],[0.201],0.3,0.2,0.25,204
0,96,[0.1126],[0.069],0.3,0.2,0.25,204
0,64,[0.1522],[0.116],0.3,0.2,0.25,204
0,40,[-0.4392],[-0.411],0.3,0.2,0.25,203
0,0,[-0.011399999999999993],[-0.064],0.3,0.2,0.25,204
0,16,[0.349],[0.348],0.3,0.2,0.25,204
0,78,[-0.4074],[-0.38],0.3,0.2,0.25,203
0,30,[-0.7817999999999999],[-0.822],0.3,0.2,0.25,203
0,14,[0.3514],[0.351],0.3,0.2,0.25,204
0,38,[0.1658],[0.133],0.3,0.2,0.25,204
0,25,[-0.4864],[-0.47],0.3,0.2,0.25,203
0,49,[0.175],[0.142],0.3,0.2,0.25,204
0,34,[-0.9356],[-0.995],0.3,0.2,0.25,203
0,18,[0.4244],[0.439],0.3,0.2,0.25,204
0,80,[-0.7688],[-0.808],0.3,0.2,0.25,203
0,2,[-0.648],[-0.672],0.3,0.2,0.25,203
0,33,[0.85],[0.911],0.3,0.2,0.25,204
0,32,[0.6938],[0.74],0.3,0.2,0.25,204
0,56,[-0.4376],[-0.409],0.3,0.2,0.25,203
0,66,[0.5844],[0.63],0.3,0.2,0.25,204
0,20,[-0.9244],[-0.981],0.3,0.2,0.25,203
0,1,[0.4316],[0.448],0.3,0.2,0.25,204
0,37,[-0.2056],[-0.154],0.3,0.2,0.25,203
0,44,[0.2758],[0.263],0.3,0.2,0.25,204
0,85,[0.0392],[-0.011],0.3,0.2,0.25,204
0,89,[0.6542],[0.696],0.3,0.2,0.25,204
0,4,[-0.7462],[-0.782],0.3,0.2,0.25,203
0,24,[0.1094],[0.065],0.3,0.2,0.25,204
0,68,[-0.6536000000000001],[-0.679],0.3,0.2,0.25,203
0,45,[0.4796],[0.508],0.3,0.2,0.25,204
0,41,[-0.5704],[-0.575],0.3,0.2,0.25,203
1,27,[-0.60192],[-0.6144000000000001],0.3,0.2,0.25,206
1,74,[0.043480000000000005],[-0.015399999999999997],0.3,0.2,0.25,205
1,6,[-0.4344],[-0.405],0.3,0.2,0.25,206
1,98,[-0.23004],[-0.1688],0.3,0.2,0.25,206
1,45,[0.45668000000000003],[0.4796],0.3,0.2,0.25,205
1,68,[-0.6332800000000001],[-0.6536000000000001],0.3,0.2,0.25,206
1,3,[0.16344],[0.1238],0.3,0.2,0.25,205
1,51,[-0.33092],[-0.2854],0.3,0.2,0.25,206
1,5,[-0.27796],[-0.22519999999999998],0.3,0.2,0.25,206
1,83,[-0.5891200000000001],[-0.5984],0.3,0.2,0.25,206
1,42,[-0.69824],[-0.7348],0.3,0.2,0.25,206
1,21,[-0.48672000000000004],[-0.47040000000000004],0.3,0.2,0.25,206
1,13,[-0.2746],[-0.221],0.3,0.2,0.25,206
1,78,[-0.43632],[-0.4074],0.3,0.2,0.25,206
1,48,[0.44836],[0.4692],0.3,0.2,0.25,205
1,86,[-0.8606],[-0.917],0.3,0.2,0.25,206
1,89,[0.60116],[0.6542],0.3,0.2,0.25,205
1,36,[0.46436],[0.4892],0.3,0.2,0.25,205
1,34,[-0.87548],[-0.9356],0.3,0.2,0.25,206
1,43,[-0.5558400000000001],[-0.5568000000000001],0.3,0.2,0.25,206
1,17,[0.22444],[0.1978],0.3,0.2,0.25,205
1,100,[-0.74444],[-0.7908],0.3,0.2,0.25,206
1,67,[0.53012],[0.5714],0.3,0.2,0.25,205
1,97,[0.56244],[0.6078],0.3,0.2,0.25,205
1,33,[0.7876],[0.85],0.3,0.2,0.25,205
1,81,[0.8006800000000001],[0.8636],0.3,0.2,0.25,205
1,64,[0.18796000000000002],[0.1522],0.3,0.2,0.25,205
1,96,[0.15448],[0.1126],0.3,0.2,0.25,205
1,2,[-0.6288],[-0.648],0.3,0.2,0.25,206
1,24,[0.15192],[0.1094],0.3,0.2,0.25,205
1,55,[-0.25780000000000003],[-0.2],0.3,0.2,0.25,206
1,18,[0.41252],[0.4244],0.3,0.2,0.25,205
1,41,[-0.56672],[-0.5704],0.3,0.2,0.25,206
1,37,[-0.26228],[-0.2056],0.3,0.2,0.25,206
1,56,[-0.46048],[-0.4376],0.3,0.2,0.25,206
1,49,[0.2062],[0.175],0.3,0.2,0.25,205
1,60,[0.36948],[0.3706],0.3,0.2,0.25,205
1,14,[0.35412],[0.3514],0.3,0.2,0.25,205
1,93,[-0.63136],[-0.6512],0.3,0.2,0.25,206
1,92,[-0.59872],[-0.6104],0.3,0.2,0.25,206
1,50,[0.84636],[0.9152],0.3,0.2,0.25,205
1,80,[-0.7254400000000001],[-0.7688],0.3,0.2,0.25,206
1,69,[0.50644],[0.5418],0.3,0.2,0.25,205
1,73,[0.24716000000000002],[0.2262],0.3,0.2,0.25,205
1,31,[-0.87164],[-0.9308],0.3,0.2,0.25,206
1,57,[-0.56928],[-0.5736],0.3,0.2,0.25,206
1,28,[0.26188],[0.2446],0.3,0.2,0.25,205
1,85,[0.09036],[0.0392],0.3,0.2,0.25,205
1,12,[-0.30723999999999996],[-0.2598],0.3,0.2,0.25,206
1,10,[0.14036],[0.09720000000000001],0.3,0.2,0.25,205
1,87,[0.493],[0.525],0.3,0.2,0.25,205
1,26,[-0.5238400000000001],[-0.5168],0.3,0.2,0.25,206
1,62,[-0.29028],[-0.2406],0.3,0.2,0.25,206
1,8,[-0.3354],[-0.291],0.3,0.2,0.25,206
1,40,[-0.46176],[-0.4392],0.3,0.2,0.25,206
1,39,[-0.4688],[-0.448],0.3,0.2,0.25,206
1,16,[0.35219999999999996],[0.349],0.3,0.2,0.25,205
1,19,[0.16216],[0.1222],0.3,0.2,0.25,205
1,72,[0.16535999999999998],[0.12619999999999998],0.3,0.2,0.25,205
1,7,[-0.40784000000000004],[-0.3718],0.3,0.2,0.25,206
1,53,[-0.51296],[-0.5032],0.3,0.2,0.25,206
1,1,[0.41828],[0.4316],0.3,0.2,0.25,205
1,20,[-0.86652],[-0.9244],0.3,0.2,0.25,206
1,25,[-0.49952],[-0.4864],0.3,0.2,0.25,206
1,47,[0.5025999999999999],[0.5369999999999999],0.3,0.2,0.25,205
1,46,[0.68132],[0.7344],0.3,0.2,0.25,205
1,99,[-0.59936],[-0.6112],0.3,0.2,0.25,206
1,66,[0.54052],[0.5844],0.3,0.2,0.25,205
1,71,[-0.38256],[-0.3402],0.3,0.2,0.25,206
1,0,[0.046680000000000006],[-0.011399999999999993],0.3,0.2,0.25,205
1,63,[0.12864],[0.08480000000000001],0.3,0.2,0.25,205
1,32,[0.63564],[0.6938],0.3,0.2,0.25,205
1,54,[-0.5001599999999999],[-0.48719999999999997],0.3,0.2,0.25,206
1,30,[-0.73724],[-0.7817999999999999],0.3,0.2,0.25,206
1,84,[0.281],[0.263],0.3,0.2,0.25,205
1,22,[0.20684],[0.17579999999999998],0.3,0.2,0.25,205
1,88,[-0.31811999999999996],[-0.2734],0.3,0.2,0.25,206
1,94,[-0.27668],[-0.2236],0.3,0.2,0.25,206
1,79,[-0.82732],[-0.8794000000000001],0.3,0.2,0.25,206
1,35,[0.16344],[0.1238],0.3,0.2,0.25,205
1,77,[-0.58784],[-0.5968],0.3,0.2,0.25,206
1,44,[0.29124],[0.2758],0.3,0.2,0.25,205
1,95,[0.11952],[0.0734],0.3,0.2,0.25,205
1,91,[0.6454],[0.704],0.3,0.2,0.25,205
1,15,[0.27176],[0.2542],0.3,0.2,0.25,205
1,61,[-0.41936],[-0.3862],0.3,0.2,0.25,206
1,70,[0.55652],[0.6004],0.3,0.2,0.25,205
1,38,[0.19884000000000002],[0.1658],0.3,0.2,0.25,205
1,52,[-0.7099200000000001],[-0.7494000000000001],0.3,0.2,0.25,206
1,90,[-0.871],[-0.9299999999999999],0.3,0.2,0.25,206
1,29,[0.43939999999999996],[0.45799999999999996],0.3,0.2,0.25,205
