random-seed,20
conformity-mean,0.2
conformity-sd,0
conformity-distribution,normal
HK-distribution,false
N,101
boundary-mean,0.3
boundary-sd,0.05
boundary-distribution,normal
SPIRO-mean,0.85
SPIRO-sd,0
SPIRO-distribution,normal
Identity-Type,global
Identity-Levels,7
Use_Identity?,true
timeStep, agentID, opinion, previousOpinion, boundary, conformity, SPIRO, groupNumber
0,99,[-0.7218],[-0.705],0.218,0.2,0.85,204
0,35,[0.2222],[0.179],0.259,0.2,0.85,206
0,77,[-0.49760000000000004],[-0.532],0.206,0.2,0.85,205
0,80,[-0.7202],[-0.703],0.303,0.2,0.85,204
0,74,[0.3068],[0.267],0.328,0.2,0.85,206
0,13,[0.586],[0.607],0.299,0.2,0.85,206
0,70,[-0.32180000000000003],[-0.332],0.346,0.2,0.85,205
0,54,[0.5156000000000001],[0.519],0.298,0.2,0.85,206
0,25,[0.534],[0.542],0.295,0.2,0.85,206
0,69,[-0.649],[-0.614],0.266,0.2,0.85,204
0,57,[0.4916],[0.489],0.342,0.2,0.85,206
0,89,[-0.2274],[-0.214],0.39,0.2,0.85,205
0,1,[-0.2378],[-0.227],0.372,0.2,0.85,205
0,44,[-0.3306],[-0.343],0.27,0.2,0.85,205
0,7,[0.9232],[0.965],0.197,0.2,0.85,206
0,94,[0.5804],[0.6],0.327,0.2,0.85,206
0,11,[0.34600000000000003],[0.316],0.294,0.2,0.85,206
0,87,[0.6668],[0.708],0.335,0.2,0.85,206
0,71,[-0.7618],[-0.755],0.325,0.2,0.85,204
0,14,[-0.4762],[-0.519],0.292,0.2,0.85,205
0,20,[-0.3474],[-0.364],0.337,0.2,0.85,205
0,28,[-0.8098],[-0.815],0.357,0.2,0.85,204
0,38,[0.7707999999999999],[0.838],0.399,0.2,0.85,206
0,50,[-0.2914],[-0.294],0.311,0.2,0.85,205
0,79,[-0.2394],[-0.229],0.251,0.2,0.85,205
0,62,[0.004599999999999993],[0.076],0.308,0.2,0.85,205
0,12,[-0.2338],[-0.222],0.212,0.2,0.85,205
0,64,[0.2908],[0.255],0.261,0.2,0.85,206
0,40,[-0.741],[-0.729],0.266,0.2,0.85,204
0,24,[0.5516],[0.564],0.353,0.2,0.85,206
0,16,[0.42119999999999996],[0.41],0.244,0.2,0.85,206
0,37,[-0.7434],[-0.732],0.366,0.2,0.85,204
0,83,[-0.4514],[-0.494],0.333,0.2,0.85,205
0,78,[-0.6194],[-0.577],0.238,0.2,0.85,204
0,27,[0.41000000000000003],[0.39],0.292,0.2,0.85,206
0,84,[-0.349],[-0.366],0.255,0.2,0.85,205
0,72,[0.35400000000000004],[0.326],0.297,0.2,0.85,206
0,30,[-0.4346],[-0.473],0.336,0.2,0.85,205
0,4,[0.196],[0.151],0.247,0.2,0.85,206
0,42,[-0.9186],[-0.951],0.321,0.2,0.85,204
0,41,[-0.4314],[-0.469],0.328,0.2,0.85,205
0,85,[0.909],[0.984],0.334,0.2,0.85,206
0,23,[-0.1506],[-0.118],0.277,0.2,0.85,205
0,93,[-0.13620000000000002],[-0.1],0.251,0.2,0.85,205
0,55,[-0.6578],[-0.625],0.328,0.2,0.85,204
0,22,[-0.2786],[-0.278],0.353,0.2,0.85,205
0,86,[-0.8121999999999999],[-0.818],0.239,0.2,0.85,204
0,76,[-0.20500000000000002],[-0.186],0.352,0.2,0.85,205
0,92,[0.526],[0.532],0.246,0.2,0.85,206
0,63,[0.5748],[0.593],0.299,0.2,0.85,206
0,68,[-0.957],[-0.999],0.267,0.2,0.85,204
0,26,[0.7928],[0.863],0.371,0.2,0.85,206
0,17,[-0.737],[-0.724],0.268,0.2,0.85,204
0,82,[-0.7842],[-0.783],0.221,0.2,0.85,204
0,49,[0.8652],[0.944],0.376,0.2,0.85,206
0,34,[-0.8346],[-0.846],0.387,0.2,0.85,204
0,6,[0.010199999999999987],[0.083],0.358,0.2,0.85,205
0,2,[-0.001800000000000003],[0.047],0.252,0.2,0.85,205
0,66,[0.743],[0.774],0.227,0.2,0.85,206
0,18,[0.5676],[0.584],0.334,0.2,0.85,206
0,32,[-0.9506],[-0.991],0.347,0.2,0.85,204
0,90,[-0.7338],[-0.72],0.344,0.2,0.85,204
0,15,[-0.801],[-0.804],0.23,0.2,0.85,204
0,65,[0.6632],[0.694],0.254,0.2,0.85,206
0,43,[0.2988],[0.265],0.264,0.2,0.85,206
