Model,Split Type,Mean Overlap,Std Overlap,Expected Overlap,Effect Size,Mean Train Success Rate,Mean Test Success Rate,Effect Strength
1,Country,1.0,0.0,0.05714285714285714,0.9428571428571428,0.05714285714285714,0.05714285714285714,STRONG
1,Seed,1.0,0.0,0.05714285714285714,0.9428571428571428,0.05714285714285714,0.05714285714285714,STRONG
2,Country,0.0,0.0,0.05714285714285714,-0.05714285714285714,0.05714285714285714,0.05714285714285714,RANDOM
2,Seed,0.1,0.12247448713915891,0.05714285714285714,0.042857142857142864,0.05714285714285714,0.05714285714285714,WEAK
3,Country,0.4,0.0,0.05000000000000001,0.35000000000000003,0.05,0.05,STRONG
3,Seed,0.16,0.08,0.05000000000000001,0.10999999999999999,0.05,0.05,MODERATE
4,Country,0.6583333333333333,0.05527707983925665,0.05128205128205128,0.6070512820512819,0.05128205128205128,0.05128205128205128,STRONG
4,Seed,0.6666666666666667,0.045643546458763846,0.05128205128205128,0.6153846153846153,0.05128205128205128,0.05128205128205128,STRONG
5,Country,0.6323045267489711,0.04591682617048232,0.05000000000000001,0.5823045267489712,0.05,0.05,STRONG
5,Seed,0.7315843621399176,0.0005040102351405557,0.05000000000000001,0.6815843621399176,0.05,0.05,STRONG
6,Country,0.6011047978414912,0.025368894512307286,0.05002743484224966,0.5510773629992414,0.050027434842249655,0.0500034293552812,STRONG
6,Seed,0.7034624614329791,0.0,0.05001714677640604,0.6534453146565731,0.05001714677640603,0.05001714677640603,STRONG
