country,pooled_distribution,mds_1d,mds_2d,hierarchical_cluster,kmeans_cluster
BE,"0.038027,0.036777,0.110450,0.127589,0.440133,0.134135,0.072959,0.016127,0.023804",-0.02342961366800281,0.06284034267529585,1,0
BG,"0.073225,0.048216,0.082092,0.071354,0.362106,0.125875,0.110772,0.038725,0.087634",0.05868786518012303,-0.06716032386490799,2,1
CZ,"0.048689,0.024766,0.072974,0.094064,0.438927,0.125881,0.103585,0.033866,0.057246",-0.022242745454430904,-0.03550077236583129,2,1
DK,"0.047148,0.059885,0.140839,0.133052,0.311017,0.146816,0.100815,0.028916,0.031512",0.0655341599843769,0.06726107759527977,1,0
DE,"0.029465,0.038350,0.118026,0.150095,0.518845,0.087115,0.039838,0.008430,0.009836",-0.056286182682237416,0.09776395354610978,1,0
EE,"0.034354,0.027498,0.060809,0.080781,0.455026,0.143230,0.106267,0.042030,0.050004",-0.05178334752577035,-0.03651943665695027,2,1
EL,"0.031178,0.030805,0.093608,0.133438,0.440442,0.124562,0.082793,0.025658,0.037518",-0.03339017614247579,0.030963973075362583,1,0
ES,"0.071557,0.055709,0.155502,0.139170,0.419377,0.072111,0.048443,0.010727,0.027405",0.04273865321577326,0.06935352931673035,1,0
FR,"0.051394,0.049564,0.140383,0.115601,0.412489,0.094832,0.063855,0.020346,0.051535",0.03634150888359568,0.026721518185116797,1,0
IE,"0.026651,0.027821,0.078393,0.113105,0.586908,0.082878,0.047712,0.014171,0.022361",-0.0999334385965385,0.027891019377138098,1,0
IT,"0.042969,0.036598,0.100163,0.139132,0.365462,0.154615,0.094829,0.022448,0.043784",0.017454843338973597,0.03683202125004765,1,0
CY,"0.103751,0.038882,0.057054,0.052950,0.397616,0.083431,0.099648,0.037710,0.128957",0.05709109984867887,-0.1427356733804147,2,1
LV,"0.021766,0.015001,0.042944,0.057063,0.517391,0.137804,0.110596,0.035959,0.061475",-0.1033517841525107,-0.07583206206431617,2,1
LT,"0.071002,0.044755,0.073273,0.071338,0.489190,0.075208,0.066207,0.028350,0.080676",-0.005317720223557919,-0.07943293201510071,2,1
LU,"0.035205,0.033438,0.106565,0.117575,0.528612,0.093788,0.047982,0.011146,0.025690",-0.05603195572337134,0.04717668939152907,1,0
HU,"0.033359,0.024498,0.070758,0.088155,0.435757,0.120993,0.107571,0.040592,0.078316",-0.029714280812587694,-0.05846955721338489,2,1
MT,"0.083936,0.033446,0.072520,0.100981,0.478212,0.078469,0.063997,0.028300,0.060138",-0.0009885444287720737,-0.050071367039193515,2,1
NL,"0.036657,0.061688,0.157305,0.157423,0.334539,0.144730,0.081203,0.012990,0.013465",0.03869526016005596,0.12690147146048128,1,0
AT,"0.046344,0.047835,0.107985,0.127690,0.415154,0.120041,0.078947,0.021454,0.034548",0.004263543298080326,0.039530867206113436,1,0
PL,"0.050285,0.034316,0.068973,0.093572,0.393857,0.121908,0.106279,0.041995,0.088815",0.010807492642996864,-0.06397332084014873,2,1
PT,"0.052075,0.035462,0.123221,0.137376,0.403710,0.113909,0.080980,0.017507,0.035760",0.01792176862619364,0.04749484354307319,1,0
RO,"0.094155,0.031243,0.060928,0.071838,0.377117,0.123061,0.110096,0.047042,0.084520",0.04181233599320823,-0.10053958429937253,2,1
SI,"0.095304,0.049818,0.100797,0.080529,0.457879,0.060261,0.059024,0.021428,0.074959",0.037722912404085616,-0.05556544175098694,2,1
SK,"0.058598,0.037675,0.093690,0.095875,0.420976,0.118652,0.092366,0.031649,0.050520",0.009035388411421813,-0.015133658785465461,2,1
FI,"0.024956,0.036719,0.091113,0.114762,0.383246,0.148992,0.132562,0.040578,0.027072",-0.022243267408701892,0.034550870354507164,1,0
SE,"0.060866,0.072763,0.158227,0.142422,0.262889,0.149606,0.099718,0.023335,0.030174",0.10758416263196957,0.08412945807589035,1,0
UK,"0.031236,0.053515,0.097627,0.109606,0.511532,0.090573,0.062248,0.017913,0.025750",-0.055952754012182755,0.03958551207322221,1,0
HR,"0.057553,0.032423,0.081167,0.107525,0.417966,0.097054,0.081095,0.035456,0.089760",0.014974816211606784,-0.05806301684982436,2,1
