"BehaviorSpace results (NetLogo 6.2.2)"
"polarized4D.nlogo"
"regularExperimentPart73"
"03/25/2022 18:15:03:824 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","opinions","boundary","id_threshold","polrzd_opnns","polrzd_dist","polrzd_ratio","conformity-level","tolerance-level","p-speaking-level","mode","p-random","n-neis","max-ticks","record-each-n-steps","polar_repeats","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","Y-opinion","cut-links-randomly?","record?","updating","set-seed?","network-change","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","mean_op3_start","mean_op4_start","sd_op1_start","sd_op2_start","sd_op3_start","sd_op4_start","median_op1_start","median_op2_start","median_op3_start","median_op4_start","lower_op1_start","lower_op2_start","lower_op3_start","lower_op4_start","upper_op1_start","upper_op2_start","upper_op3_start","upper_op4_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","mean_op3_final","mean_op4_final","sd_op1_final","sd_op2_final","sd_op3_final","sd_op4_final","median_op1_final","median_op2_final","median_op3_final","median_op4_final","lower_op1_final","lower_op2_final","lower_op3_final","lower_op4_final","upper_op1_final","upper_op2_final","upper_op3_final","upper_op4_final"
"24","1","3","0.05","0.35","2","1","0.5","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","11.999999999999996","0.9120932717941233","0.8126144277829312","1.1875","0.557","0.415","-0.05426356589147287","-0.05426356589147287","-0.08737984496124027","0","1.0024195535005842","1.0024195535005838","0.5891167407892096","0","-1","-1","-0.149","0","-1","-1","-1","0","1","1","1","0","12.00000000000001","0.8931290482309274","0.8498597326743376","1.1875","0.58","0.426","-0.05426356589147287","-0.05426356589147287","-0.08720147691535911","0","1.002419553500584","1.002419553500584","0.5950731107506598","0","-1","-1","-0.1150771234321662","0","-1","-1","-1","0","1","1","1","0"
"29","1","3","0.05","0.45","2","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","11.999999999999998","0.9120932717941234","0.8126144277829309","1.1875","0.412","0.291","-0.03798449612403101","-0.03798449612403101","-0.08737984496124032","0","0.7016936874504086","0.7016936874504085","0.5891167407892096","0","-0.7","-0.7","-0.149","0","-0.7","-0.7","-0.7","0","0.7","0.7","0.7","0","12","0.87950700650166","0.8415887291276688","1.1875","0.457","0.297","-0.037984496124031","-0.03798449612403101","-0.12163740337561796","0","0.7016936874504085","0.7016936874504084","0.5709736981834419","0","-0.7","-0.7","-0.1658441564592534","0","-0.7","-0.7","-0.7","0","0.7","0.7","0.7","0"
"30","1","3","0.05","0.45","2","1","0.5","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","11.999999999999998","0.9120932717941234","0.8126144277829309","1.1875","0.557","0.415","-0.05426356589147287","-0.05426356589147287","-0.08737984496124032","0","1.002419553500584","1.0024195535005838","0.5891167407892096","0","-1","-1","-0.149","0","-1","-1","-1","0","1","1","1","0","11.999999999999993","0.8632634769758091","0.8425564489479912","1.1875","0.602","0.424","-0.05426356589147287","-0.05426356589147287","-0.12142780885526913","0","1.002419553500584","1.002419553500584","0.5712195516241897","0","-1","-1","-0.16955686151441526","0","-1","-1","-1","0","1","1","1","0"
"18","1","3","0.05","0.25","2","1","0.5","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","11.999999999999996","0.9120932717941233","0.8126144277829312","1.1875","0.557","0.415","-0.05426356589147287","-0.05426356589147287","-0.08737984496124027","0","1.0024195535005842","1.0024195535005838","0.5891167407892096","0","-1","-1","-0.149","0","-1","-1","-1","0","1","1","1","0","12.00000000000001","0.8931290482309274","0.8498597326743376","1.1875","0.58","0.426","-0.05426356589147287","-0.05426356589147287","-0.08720147691535911","0","1.002419553500584","1.002419553500584","0.5950731107506598","0","-1","-1","-0.1150771234321662","0","-1","-1","-1","0","1","1","1","0"
"27","1","3","0.05","0.45","1","1","0.5","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9120932717941227","0.8126144277829312","1.1875","0.401","0.238","-0.05426356589147287","-0.0032480620155038637","-0.08737984496124027","0","1.0024195535005838","0.5612732182141744","0.5891167407892096","0","-1","-0.031","-0.149","0","-1","-0.439","-1","0","1","0.4115","1","0","11.999999999999998","0.8397867105244746","0.8474364078903349","1.1875","0.418","0.237","-0.05426356589147287","0.007829713078450321","-0.09049261593466526","0","1.0024195535005838","0.5586025313303763","0.5789886792039659","0","-1","-0.011","-0.09561045768692514","0","-1","-0.38449999999999995","-1","0","1","0.4564999987292695","1","0"
"32","1","3","0.05","0.55","1","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000004","0.9120932717941233","0.8126144277829306","1.1875","0.318","0.169","-0.03798449612403101","-0.003248062015503865","-0.08737984496124024","0","0.7016936874504087","0.5612732182141742","0.5891167407892096","0","-0.7","-0.031","-0.149","0","-0.7","-0.439","-0.7","0","0.7","0.4115","0.7","0","11.999999999999991","0.828723076804693","0.8593945915812363","1.1875","0.343","0.171","-0.037984496124031014","-0.0016265046957605496","-0.1120573430949389","0","0.7016936874504086","0.5579738168096845","0.5811756826524979","0","-0.7","-0.07799999739263272","-0.20096265943280536","0","-0.7","-0.34850000000000003","-0.7","0","0.7","0.4542813380916936","0.7","0"
"4","1","3","0.05","0.05","2","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000004","0.9120932717941235","0.8126144277829305","1.1875","0.258","0.133","-0.0189922480620155","-0.018992248062015504","-0.08737984496124027","0","0.35084684372520436","0.3508468437252042","0.5891167407892096","0","-0.35","-0.35","-0.149","0","-0.35","-0.35","-0.35","0","0.35","0.35","0.35","0","12.000000000000007","0.8379133416550425","0.8870555928842737","1.1875","0.243","0.143","-0.0189922480620155","-0.0189922480620155","-0.06922698019055547","0","0.35084684372520436","0.35084684372520425","0.5768177390174041","0","-0.35","-0.35","0.020165336259665146","0","-0.35","-0.35","-0.35","0","0.35","0.35","0.35","0"
"23","1","3","0.05","0.35","2","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000004","0.9120932717941229","0.8126144277829309","1.1875","0.41","0.291","-0.037984496124031","-0.03798449612403101","-0.08737984496124036","0","0.7016936874504084","0.7016936874504086","0.5891167407892097","0","-0.7","-0.7","-0.149","0","-0.7","-0.7","-0.7","0","0.7","0.7","0.7","0","12.000000000000004","0.8611128402908851","0.8337007524062956","1.1875","0.47","0.274","-0.03798449612403101","-0.037984496124031","-0.09035785071074122","0","0.7016936874504087","0.7016936874504084","0.6134858109966489","0","-0.7","-0.7","-0.40423935759135626","0","-0.7","-0.7","-0.7","0","0.7","0.7","0.7","0"
"12","1","3","0.05","0.15","2","1","0.5","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","11.999999999999998","0.9120932717941236","0.8126144277829311","1.1875","0.557","0.415","-0.05426356589147287","-0.05426356589147287","-0.08737984496124024","0","1.0024195535005838","1.002419553500584","0.5891167407892094","0","-1","-1","-0.149","0","-1","-1","-1","0","1","1","1","0","11.999999999999998","0.8665015586999294","0.8352161166772495","1.1875","0.617","0.396","-0.05426356589147287","-0.05426356589147287","-0.08509386745422025","0","1.002419553500584","1.002419553500584","0.6048990267030889","0","-1","-1","-0.39629341035237836","0","-1","-1","-1","0","1","1","1","0"
"11","1","3","0.05","0.15","2","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000004","0.9120932717941235","0.8126144277829305","1.1875","0.412","0.291","-0.03798449612403101","-0.037984496124031","-0.08737984496124028","0","0.7016936874504085","0.7016936874504086","0.5891167407892096","0","-0.7","-0.7","-0.149","0","-0.7","-0.7","-0.7","0","0.7","0.7","0.7","0","11.999999999999995","0.8658936134350924","0.8480897391429323","1.1875","0.443","0.304","-0.03798449612403101","-0.037984496124031","-0.0916930244741634","0","0.7016936874504086","0.7016936874504086","0.5783430740236724","0","-0.7","-0.7","-0.18191370082746716","0","-0.7","-0.7","-0.7","0","0.7","0.7","0.7","0"
