"BehaviorSpace results (NetLogo 6.2.2)"
"polarized4D.nlogo"
"regularExperimentPart77"
"03/28/2022 13:59:59:230 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","opinions","boundary","id_threshold","polrzd_opnns","polrzd_dist","polrzd_ratio","conformity-level","tolerance-level","p-speaking-level","mode","p-random","n-neis","max-ticks","record-each-n-steps","polar_repeats","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","Y-opinion","cut-links-randomly?","record?","updating","set-seed?","network-change","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","mean_op3_start","mean_op4_start","sd_op1_start","sd_op2_start","sd_op3_start","sd_op4_start","median_op1_start","median_op2_start","median_op3_start","median_op4_start","lower_op1_start","lower_op2_start","lower_op3_start","lower_op4_start","upper_op1_start","upper_op2_start","upper_op3_start","upper_op4_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","mean_op3_final","mean_op4_final","sd_op1_final","sd_op2_final","sd_op3_final","sd_op4_final","median_op1_final","median_op2_final","median_op3_final","median_op4_final","lower_op1_final","lower_op2_final","lower_op3_final","lower_op4_final","upper_op1_final","upper_op2_final","upper_op3_final","upper_op4_final"
"18","156","4","0.05","0.15","3","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","78.87596899224808","0.7597028225144757","0.30320577988156633","2.232437015503876","0.572","0.418","0.05426356589147287","0.05426356589147287","0.05426356589147287","-0.014744186046511636","1.002419553500584","1.002419553500584","1.002419553500584","0.6240158160940034","1","1","1","-0.037","-1","-1","-1","-1","1","1","1","1","89.44961240310076","0.33843878998234367","0.4846181170145408","2.39765019379845","0.605","0.464","0.05426356589147287","0.05426356589147287","0.05426356589147287","-0.04061640589083247","1.0024195535005838","1.0024195535005838","1.0024195535005838","0.49841441485081234","1","1","1","-0.10444639472861687","-1","-1","-1","-1","1","1","1","1"
"27","156","4","0.05","0.25","3","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","78.87596899224808","0.7597028225144757","0.30320577988156633","2.232437015503876","0.572","0.418","0.05426356589147287","0.05426356589147287","0.05426356589147287","-0.014744186046511636","1.002419553500584","1.002419553500584","1.002419553500584","0.6240158160940034","1","1","1","-0.037","-1","-1","-1","-1","1","1","1","1","89.44961240310076","0.33843878998234367","0.4846181170145408","2.39765019379845","0.605","0.464","0.05426356589147287","0.05426356589147287","0.05426356589147287","-0.04061640589083247","1.0024195535005838","1.0024195535005838","1.0024195535005838","0.49841441485081234","1","1","1","-0.10444639472861687","-1","-1","-1","-1","1","1","1","1"
"24","156","4","0.05","0.25","2","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","78.87596899224809","0.7597028225144759","0.30320577988156616","2.232437015503876","0.451","0.274","0.05426356589147287","0.05426356589147287","-0.03751162790697673","-0.014744186046511622","1.0024195535005838","1.002419553500584","0.587246316456613","0.6240158160940034","1","1","-0.151","-0.037","-1","-1","-1","-1","1","1","1","1","74.26356589147281","0.3330090660770277","0.8066576905679786","false","0.479","0.28","0.05426356589147287","0.05426356589147287","-0.029776604002395603","9.089194258670865E-4","1.0024195535005838","1.0024195535005838","0.6168445054159799","0.5630092424482795","1","1","-0.14319166692310722","-0.05899999999935661","-1","-1","-1","-1","1","1","1","1"
"16","156","4","0.05","0.15","3","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","78.87596899224803","0.7597028225144757","0.30320577988156644","2.232437015503876","0.247","0.149","0.018992248062015504","0.0189922480620155","0.0189922480620155","-0.01474418604651164","0.3508468437252043","0.35084684372520425","0.35084684372520436","0.6240158160940034","0.35","0.35","0.35","-0.037","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","90.62790697674419","0.45012518287898634","0.49964026939369466","2.416061046511628","0.253","0.156","0.018992248062015504","0.0189922480620155","0.018992248062015504","-0.023218621337167084","0.3508468437252043","0.3508468437252042","0.35084684372520425","0.5448713110077803","0.35","0.35","0.35","-0.14497245147892948","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
"7","156","4","0.05","0.05","3","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","78.87596899224803","0.7597028225144757","0.30320577988156644","2.232437015503876","0.247","0.149","0.018992248062015504","0.0189922480620155","0.0189922480620155","-0.01474418604651164","0.3508468437252043","0.35084684372520425","0.35084684372520436","0.6240158160940034","0.35","0.35","0.35","-0.037","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","90.62790697674419","0.45012518287898634","0.49964026939369466","2.416061046511628","0.253","0.156","0.018992248062015504","0.0189922480620155","0.018992248062015504","-0.023218621337167084","0.3508468437252043","0.3508468437252042","0.35084684372520425","0.5448713110077803","0.35","0.35","0.35","-0.14497245147892948","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
"8","156","4","0.05","0.05","3","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","78.87596899224803","0.7597028225144757","0.30320577988156644","2.232437015503876","0.419","0.293","0.037984496124031","0.037984496124031","0.037984496124031","-0.014744186046511652","0.7016936874504085","0.7016936874504086","0.7016936874504086","0.6240158160940036","0.7","0.7","0.7","-0.037","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7","92.29457364341083","0.4480001585927078","0.49075216979391006","2.4421027131782944","0.437","0.314","0.03798449612403101","0.037984496124031","0.03798449612403101","-0.02124701011155379","0.7016936874504086","0.7016936874504086","0.7016936874504085","0.5351303127845433","0.7","0.7","0.7","-0.11296756123978992","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7"
"25","156","4","0.05","0.25","3","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","78.87596899224803","0.7597028225144757","0.30320577988156644","2.232437015503876","0.247","0.149","0.018992248062015504","0.0189922480620155","0.0189922480620155","-0.01474418604651164","0.3508468437252043","0.35084684372520425","0.35084684372520436","0.6240158160940034","0.35","0.35","0.35","-0.037","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","90.62790697674419","0.45012518287898634","0.49964026939369466","2.416061046511628","0.253","0.156","0.018992248062015504","0.0189922480620155","0.018992248062015504","-0.023218621337167084","0.3508468437252043","0.3508468437252042","0.35084684372520425","0.5448713110077803","0.35","0.35","0.35","-0.14497245147892948","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
"9","156","4","0.05","0.05","3","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","78.87596899224803","0.759702822514476","0.3032057798815666","2.232437015503876","0.572","0.418","0.05426356589147287","0.05426356589147287","0.05426356589147287","-0.014744186046511627","1.002419553500584","1.002419553500584","1.002419553500584","0.6240158160940035","1","1","1","-0.037","-1","-1","-1","-1","1","1","1","1","90.94573643410848","0.33975558871253575","0.485219941274783","2.421027131782946","0.602","0.464","0.05426356589147287","0.05426356589147287","0.05426356589147287","-0.03241703742785896","1.0024195535005838","1.002419553500584","1.002419553500584","0.4979235597578872","1","1","1","-0.11160656944972898","-1","-1","-1","-1","1","1","1","1"
"26","156","4","0.05","0.25","3","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","78.87596899224808","0.7597028225144757","0.3032057798815663","2.232437015503876","0.419","0.293","0.03798449612403101","0.037984496124031","0.03798449612403101","-0.014744186046511627","0.7016936874504086","0.7016936874504086","0.7016936874504086","0.6240158160940035","0.7","0.7","0.7","-0.037","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7","90.41085271317826","0.3596970062929718","0.49193034435723015","2.4126695736434107","0.442","0.327","0.037984496124031","0.037984496124031","0.03798449612403101","-0.05077916672381462","0.7016936874504085","0.7016936874504086","0.7016936874504086","0.5003747887982121","0.7","0.7","0.7","-0.132558880965854","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7"
"17","156","4","0.05","0.15","3","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","78.87596899224803","0.7597028225144757","0.30320577988156644","2.232437015503876","0.419","0.293","0.037984496124031","0.037984496124031","0.037984496124031","-0.014744186046511652","0.7016936874504085","0.7016936874504086","0.7016936874504086","0.6240158160940036","0.7","0.7","0.7","-0.037","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7","92.29457364341083","0.4480001585927078","0.49075216979391006","2.4421027131782944","0.437","0.314","0.03798449612403101","0.037984496124031","0.03798449612403101","-0.02124701011155379","0.7016936874504086","0.7016936874504086","0.7016936874504085","0.5351303127845433","0.7","0.7","0.7","-0.11296756123978992","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7"
