"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormationLite-Networkfree.nlogo"
"robCheckNoID150"
"05/11/2022 04:51:36:478 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","id_threshold","opinions","boundary","conformity-level","record?","updating","set-seed?","polar_repeats","model","max-ticks","Centroids_change","boundary-drawn","polarisation-each-n-steps","mode","d_threshold","record-each-n-steps","ESBG_furthest_out","record-length","centroid_color?","use_identity?","conformity-drawn","N_centroids","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","threshold_drawn","X-opinion","Y-opinion","[step]","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","mean_op3_start","mean_op4_start","sd_op1_start","sd_op2_start","sd_op3_start","sd_op4_start","median_op1_start","median_op2_start","median_op3_start","median_op4_start","lower_op1_start","lower_op2_start","lower_op3_start","lower_op4_start","upper_op1_start","upper_op2_start","upper_op3_start","upper_op4_start","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","mean_op3_final","mean_op4_final","sd_op1_final","sd_op2_final","sd_op3_final","sd_op4_final","median_op1_final","median_op2_final","median_op3_final","median_op4_final","lower_op1_final","lower_op2_final","lower_op3_final","lower_op4_final","upper_op1_final","upper_op2_final","upper_op3_final","upper_op4_final"
"15","101","0.49","1","0.28","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.002","-0.02874234533187123","0","0","0","0.1509040913511675","0","0","0","-0.018708277228494614","0","0","0","-0.01982043153082768","0","0","0","-0.014431818721075308","0","0","0"
"13","101","0.49","1","0.28","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.002","0.017547994575785666","0","0","0","0.15615155675239184","0","0","0","0.03241387537414665","0","0","0","0.028513850783453594","0","0","0","0.03445345339133775","0","0","0"
"4","101","0.49","1","0.1","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.44","0.02242645500568728","0","0","0","0.5591679658518411","0","0","0","0.4949999999999998","0","0","0","-0.6339999999999999","0","0","0","0.495","0","0","0"
"3","101","0.49","1","0.1","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.224","0.0577843858861191","0","0","0","0.28962668167231825","0","0","0","-0.14500000002852587","0","0","0","-0.14500530898894493","0","0","0","0.3060035963484423","0","0","0"
"16","101","0.49","1","0.28","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0","0.151117035784734","0","0","0","0.0013300471993875108","0","0","0","0.15099999999999997","0","0","0","0.15099999999999994","0","0","0","0.151","0","0","0"
"5","101","0.49","1","0.1","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.555","-0.010017298165394557","0","0","0","0.5781599626990003","0","0","0","-0.14100000000000004","0","0","0","-0.575","0","0","0","0.5829999999999991","0","0","0"
"2","101","0.49","1","0.1","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.434","0.014585308820844876","0","0","0","0.5507855180338564","0","0","0","0.47999999999973897","0","0","0","-0.6319999999999999","0","0","0","0.4799999999999999","0","0","0"
"7","101","0.49","1","0.22","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.009","0.031628710404100105","0","0","0","0.15474585360062515","0","0","0","0.049999999999999996","0","0","0","0.046","0","0","0","0.05199999999999999","0","0","0"
"11","101","0.49","1","0.22","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.013","-0.41281060176939205","0","0","0","0.20526843010261603","0","0","0","-0.46099999999999997","0","0","0","-0.461","0","0","0","-0.46","0","0","0"
"1","101","0.49","1","0.1","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.234","0.07007227137835693","0","0","0","0.2915592164287466","0","0","0","-0.12000777261970014","0","0","0","-0.14172488102209146","0","0","0","0.33700387780638347","0","0","0"
"10","101","0.49","1","0.22","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0","0.17611597260028375","0","0","0","0.0013178811574322037","0","0","0","0.17599999999999996","0","0","0","0.17599999999999993","0","0","0","0.176","0","0","0"
"9","101","0.49","1","0.22","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.005","0.012960748141515781","0","0","0","0.14647873253262048","0","0","0","0.028532499500168534","0","0","0","0.026889604266859213","0","0","0","0.033010033029584294","0","0","0"
"6","101","0.49","1","0.1","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.534","0.020930232558139902","0","0","0","0.5364387078520502","0","0","0","0.5429999999999996","0","0","0","-0.526","0","0","0","0.543","0","0","0"
"8","101","0.49","1","0.22","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0","0.17724177506208713","0","0","0","0.0027592353496493443","0","0","0","0.17699999999999996","0","0","0","0.17699999999999988","0","0","0","0.177","0","0","0"
"12","101","0.49","1","0.22","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0","0.11500000000000013","0","0","0","6.904359502179552E-15","0","0","0","0.115","0","0","0","0.11499999999999999","0","0","0","0.115","0","0","0"
"14","101","0.49","1","0.28","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0","0.15324247957850035","0","0","0","0.0027710514906295848","0","0","0","0.15299999999999997","0","0","0","0.1529999999999985","0","0","0","0.153","0","0","0"
"17","101","0.49","1","0.28","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.022","-0.32244804558301426","0","0","0","0.21743925928632604","0","0","0","-0.3689999998867762","0","0","0","-0.369","0","0","0","-0.35699999999629484","0","0","0"
"23","101","0.49","1","0.34","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.013","-0.23717847601309475","0","0","0","0.194482151517261","0","0","0","-0.2560395579175163","0","0","0","-0.27189059556625284","0","0","0","-0.24201780271044848","0","0","0"
"21","101","0.49","1","0.34","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.013","-0.2839444601260529","0","0","0","0.18467679034068968","0","0","0","-0.2919887580707457","0","0","0","-0.30361019146250945","0","0","0","-0.28361062994518443","0","0","0"
"18","101","0.49","1","0.28","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0","0.08500000000000019","0","0","0","5.4856264147582305E-15","0","0","0","0.085","0","0","0","0.08499999999999999","0","0","0","0.085","0","0","0"
"22","101","0.49","1","0.34","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0","0.14311853860882","0","0","0","0.0013470089482654462","0","0","0","0.14299999999999996","0","0","0","0.14299999999999993","0","0","0","0.143","0","0","0"
"19","101","0.49","1","0.34","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0.014","-0.23777695012706881","0","0","0","0.18269759878373257","0","0","0","-0.2395680720609511","0","0","0","-0.25103004277081076","0","0","0","-0.2364785946820931","0","0","0"
"20","101","0.49","1","0.34","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0","0.14024426035443838","0","0","0","0.0027947733590610877","0","0","0","0.13999999999999999","0","0","0","0.13999999999999108","0","0","0","0.14","0","0","0"
"27","101","0.49","2","0.1","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.181","-0.062387596899224754","-0.012348837209302311","0","0","0.5656452939740251","0.5823008867195881","0","0","-0.08","0.043","0","0","-0.5685","-0.557","0","0","0.4155","0.465","0","0","0","0.156","0.03202870290266361","-0.11952626328462024","0","0","0.5053604228900994","0.4786249961299324","0","0","0.384779881119515","-0.2360134681221189","0","0","-0.5582211584408624","-0.24122710866154168","0","0","0.38655617991524893","-0.12700000000001704","0","0"
"24","101","0.49","1","0.34","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.349","0.009852713178294562","0","0","0","0.585240590227312","0","0","0","-0.006","0","0","0","-0.524","0","0","0","0.46799999999999997","0","0","0","0","0","0.08100000000000002","0","0","0","5.0272784660286874E-15","0","0","0","0.081","0","0","0","0.08099999999999999","0","0","0","0.081","0","0","0"
"25","101","0.49","2","0.1","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.181","-0.062387596899224754","-0.012348837209302311","0","0","0.5656452939740251","0.5823008867195881","0","0","-0.08","0.043","0","0","-0.5685","-0.557","0","0","0.4155","0.465","0","0","0","0.165","-0.006385860334586238","-0.1792041750945297","0","0","0.49176217059937105","0.481669010129472","0","0","0.3285524696468491","-0.34385528329386006","0","0","-0.5573278428798832","-0.34999239231984214","0","0","0.3324302945670834","-0.10600000001380228","0","0"
"29","101","0.49","2","0.1","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.181","-0.062387596899224754","-0.012348837209302311","0","0","0.5656452939740251","0.5823008867195881","0","0","-0.08","0.043","0","0","-0.5685","-0.557","0","0","0.4155","0.465","0","0","0","0.233","-0.044427427253545204","0.08847654388090069","0","0","0.49227649917488653","0.689267794050006","0","0","0.11500012512911803","0.031","0","0","-0.3940000000000373","-0.6010000000002285","0","0","0.15962693550498813","0.7798017435122568","0","0"
"32","101","0.49","2","0.22","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.181","-0.062387596899224754","-0.012348837209302311","0","0","0.5656452939740251","0.5823008867195881","0","0","-0.08","0.043","0","0","-0.5685","-0.557","0","0","0.4155","0.465","0","0","0","0","-0.13882911085313374","-0.23785527676179727","0","0","0.04665771938227726","0.03222613436493022","0","0","-0.13695778001152312","-0.23648066783598454","0","0","-0.13768494567086767","-0.23709383997131328","0","0","-0.13545811975772523","-0.23490981759486762","0","0"
"31","101","0.49","2","0.22","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.181","-0.062387596899224754","-0.012348837209302311","0","0","0.5656452939740251","0.5823008867195881","0","0","-0.08","0.043","0","0","-0.5685","-0.557","0","0","0.4155","0.465","0","0","0","0.058","-0.012261363873303753","-0.13441639467530686","0","0","0.2035876618441401","0.3742616394064191","0","0","-0.016876027589643728","-0.2474832698472152","0","0","-0.02806772042142417","-0.26641969280937894","0","0","-0.0034531783174668457","-0.19823410773545302","0","0"
"30","101","0.49","2","0.1","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.181","-0.062387596899224754","-0.012348837209302311","0","0","0.5656452939740251","0.5823008867195881","0","0","-0.08","0.043","0","0","-0.5685","-0.557","0","0","0.4155","0.465","0","0","0","0.113","-0.04965717170121906","0.0017862928436294","0","0","0.4752604566488669","0.48858397953124477","0","0","0.065","0.264","0","0","-0.7079999999999999","-0.402","0","0","0.18100012228246817","0.264","0","0"
"28","101","0.49","2","0.1","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.181","-0.062387596899224754","-0.012348837209302311","0","0","0.5656452939740251","0.5823008867195881","0","0","-0.08","0.043","0","0","-0.5685","-0.557","0","0","0.4155","0.465","0","0","0","0.076","-0.0359663679200676","-0.04144827495084162","0","0","0.3855937460047718","0.41307234761074046","0","0","0.18599999988312696","-0.07199999999999998","0","0","-0.6338219498661541","-0.072","0","0","0.186","-0.071999923837788","0","0"
"26","101","0.49","2","0.1","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.181","-0.062387596899224754","-0.012348837209302311","0","0","0.5656452939740251","0.5823008867195881","0","0","-0.08","0.043","0","0","-0.5685","-0.557","0","0","0.4155","0.465","0","0","0","0.124","-0.07408641470596015","-0.039300655004378945","0","0","0.39262101247478604","0.46262019847211516","0","0","0.025000000000000005","0.14","0","0","-0.6290711859406806","-0.5360782044900925","0","0","0.02500000000204887","0.14000000000000007","0","0"
"33","101","0.49","2","0.22","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.01","365","5","40","true","false","uniform","2","true","129","false","false","false","uniform","1","2","364","0","0.181","-0.062387596899224754","-0.012348837209302311","0","0","0.5656452939740251","0.5823008867195881","0","0","-0.08","0.043","0","0","-0.5685","-0.557","0","0","0.4155","0.465","0","0","0","0.062","-0.20469409638567757","-0.24923905174590819","0","0","0.22290955631525128","0.418825047417138","0","0","-0.21499661504851367","-0.39177535591646684","0","0","-0.21994478918123056","-0.39626799778961186","0","0","-0.18293835472358302","-0.3818733306301709","0","0"
