ID,Sim,Seed,Population,Random_links,Close_links,Dimensions,Updating,Boundary,Boundary_method,P_speaking,Mode,Step,Uncertainty,Opinion1_Start,Opinion1_Final
Nei0,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.979,-0.703
Nei1,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.13,-0.076
Nei2,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.835,0.644
Nei3,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.207,-0.076
Nei4,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.707,0.644
Nei5,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.179,-0.076
Nei6,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.652,-0.703
Nei7,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.098,-0.076
Nei8,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.373,-0.076
Nei9,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.507,-0.703
Nei10,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.554,0.644
Nei11,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.998,0.644
Nei12,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.249,-0.076
Nei13,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.703,0.644
Nei14,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.935,-0.703
Nei15,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.58,-0.703
Nei16,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.573,0.644
Nei17,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.424,0.644
Nei18,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.911,0.644
Nei19,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.61,0.644
Nei20,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.093,-0.076
Nei21,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.574,-0.703
Nei22,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.782,-0.703
Nei23,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.306,0.644
Nei24,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.615,-0.703
Nei25,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.67,0.644
Nei26,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.963,0.644
Nei27,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.232,-0.076
Nei28,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.129,-0.076
Nei29,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.584,-0.703
Nei30,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.784,0.644
Nei31,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.692,-0.703
Nei32,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.831,-0.703
Nei33,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.104,-0.076
Nei34,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.385,0.644
Nei35,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.859,-0.703
Nei36,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.445,-0.703
Nei37,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.2,-0.076
Nei38,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.329,-0.076
Nei39,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.65,-0.703
Nei40,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.396,-0.076
Nei41,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.165,-0.076
Nei42,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.691,-0.703
Nei43,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.913,-0.703
Nei44,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.074,-0.076
Nei45,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.46,0.644
Nei46,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.005,-0.076
Nei47,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.516,0.644
Nei48,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.528,-0.703
Nei49,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.54,0.644
Nei50,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.503,-0.703
Nei51,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.648,0.644
Nei52,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.942,-0.703
Nei53,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.705,0.644
Nei54,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.523,0.644
Nei55,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.668,-0.703
Nei56,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.107,-0.076
Nei57,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.822,0.644
Nei58,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.439,0.644
Nei59,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.498,-0.703
Nei60,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.011,-0.076
Nei61,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.921,0.644
Nei62,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.901,-0.703
Nei63,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.639,0.644
Nei64,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.75,0.644
Nei65,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.094,-0.076
Nei66,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.815,-0.703
Nei67,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.691,-0.703
Nei68,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.613,0.644
Nei69,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.559,-0.703
Nei70,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.467,-0.703
Nei71,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.962,0.644
Nei72,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.147,-0.076
Nei73,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.087,-0.076
Nei74,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.873,0.644
Nei75,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.629,-0.703
Nei76,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.877,0.644
Nei77,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.863,-0.703
Nei78,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.355,0.644
Nei79,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.736,-0.703
Nei80,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.645,-0.703
Nei81,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.103,-0.076
Nei82,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.289,0.644
Nei83,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.725,0.644
Nei84,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.564,0.644
Nei85,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.142,-0.076
Nei86,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.478,0.644
Nei87,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.243,-0.076
Nei88,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.549,-0.703
Nei89,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.368,-0.076
Nei90,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.382,0.644
Nei91,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.962,-0.703
Nei92,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.478,0.644
Nei93,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.784,0.644
Nei94,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.299,-0.076
Nei95,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.324,0.644
Nei96,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.742,0.644
Nei97,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.846,-0.703
Nei98,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.768,-0.703
Nei99,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.385,0.644
Nei100,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.275,-0.076
Nei101,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.773,0.644
Nei102,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.669,-0.703
Nei103,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.635,0.644
Nei104,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.274,-0.076
Nei105,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.531,0.644
Nei106,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.763,-0.703
Nei107,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.275,-0.076
Nei108,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.394,-0.076
Nei109,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.181,-0.076
Nei110,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.987,0.644
Nei111,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.544,0.644
Nei112,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.706,-0.703
Nei113,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.758,0.644
Nei114,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.98,-0.703
Nei115,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.216,-0.076
Nei116,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.717,0.644
Nei117,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.116,-0.076
Nei118,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.253,-0.076
Nei119,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.67,-0.703
Nei120,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.01,-0.076
Nei121,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.008,-0.076
Nei122,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.824,0.644
Nei123,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.084,-0.076
Nei124,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.994,0.644
Nei125,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.652,0.644
Nei126,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.036,-0.076
Nei127,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.633,0.644
Nei128,Sims02,4,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.564,-0.703
Nei0,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,-0.979,-0.703
Nei1,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,-0.13,-0.076
Nei2,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,0.835,0.644
Nei3,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,-0.207,-0.076
Nei4,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,0.707,0.644
Nei5,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,-0.179,-0.076
Nei6,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,-0.652,-0.703
Nei7,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,0.098,-0.076
Nei8,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,-0.373,-0.076
Nei9,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,-0.507,-0.703
Nei10,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,0.554,0.644
Nei11,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,0.998,0.644
Nei12,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,0.249,-0.076
Nei13,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,0.703,0.644
Nei14,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,-0.935,-0.703
Nei15,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,-0.58,-0.703
Nei16,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,0.573,0.644
Nei17,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,0.424,0.644
Nei18,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,0.911,0.644
Nei19,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,0.61,0.644
Nei20,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,-0.093,-0.076
Nei21,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,-0.574,-0.703
Nei22,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,-0.782,-0.703
Nei23,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,0.306,0.644
Nei24,Sims02,4,129,0,64,1,1,0.1,constant,0.5,vaguely-speak,205,0.1,-0.615,-0.703
