ID,Sim,Seed,Population,Random_links,Close_links,Dimensions,Updating,Boundary,Boundary_method,P_speaking,Mode,Step,Uncertainty,Opinion1_Start,Opinion1_Final
Nei0,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.896,-0.864
Nei1,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.352,-0.509
Nei2,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.162,0.108
Nei3,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.131,0.108
Nei4,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.645,0.678
Nei5,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.678,0.678
Nei6,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.735,0.678
Nei7,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.907,0.678
Nei8,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.723,0.678
Nei9,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.848,0.678
Nei10,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.242,0.108
Nei11,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.675,-0.509
Nei12,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.714,0.678
Nei13,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.703,-0.509
Nei14,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.774,0.678
Nei15,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.923,-0.864
Nei16,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.453,0.678
Nei17,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.198,0.108
Nei18,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.333,-0.509
Nei19,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.359,-0.509
Nei20,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.492,0.678
Nei21,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.414,-0.509
Nei22,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.572,0.678
Nei23,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.353,-0.509
Nei24,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.802,0.678
Nei25,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.424,-0.509
Nei26,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.258,-0.509
Nei27,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.127,0.108
Nei28,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.183,0.108
Nei29,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.642,-0.509
Nei30,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.292,0.108
Nei31,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.097,0.108
Nei32,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.05,0.108
Nei33,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.576,0.678
Nei34,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.931,0.678
Nei35,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.625,0.678
Nei36,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.115,0.108
Nei37,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.623,0.678
Nei38,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.212,0.108
Nei39,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.583,0.678
Nei40,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.719,0.678
Nei41,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.382,0.108
Nei42,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.457,0.678
Nei43,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.867,0.678
Nei44,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.494,0.678
Nei45,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.952,-0.864
Nei46,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.145,0.108
Nei47,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.706,0.678
Nei48,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.875,0.678
Nei49,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.003,0.108
Nei50,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.496,-0.509
Nei51,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.317,-0.509
Nei52,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.029,0.108
Nei53,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.411,0.108
Nei54,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.306,0.108
Nei55,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.19,0.108
Nei56,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.486,0.678
Nei57,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.47,-0.509
Nei58,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.357,0.108
Nei59,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.772,-0.864
Nei60,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.78,0.678
Nei61,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.514,-0.509
Nei62,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.065,0.108
Nei63,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.658,-0.509
Nei64,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.544,-0.509
Nei65,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.035,0.108
Nei66,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.297,0.108
Nei67,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,-0.45,-0.509
Nei68,Sims02,44,129,0,64,1,1,0.1,constant,0.5,openly-listen,204,0.1,0.001,0.108
