Sim_ID,Seed,Population,Random_links,Close_links,Dimensions,Boundary,Boundary_method,P_speaking,Mode,Far_from_entropy,One_group_size,Number_of_equal_groups,Zero_lenghts,SD
37,1,129,0.05,4,2,0.1,constant,0.1,openly-listen,11.9,11.2,49.38,1.3,0.485
38,1,129,0.05,4,2,0.1,constant,0.1,vaguely-speak,11.9,11.2,49.38,1.3,0.485
39,1,129,0.05,4,2,0.1,constant,0.5,openly-listen,12,11.9,45.59,1.4,0.484
40,1,129,0.05,4,2,0.1,constant,0.5,vaguely-speak,12,11.9,45.59,1.4,0.484
41,1,129,0.05,4,2,0.1,constant,0.9,openly-listen,12,11.4,48.23,1.3,0.484
42,1,129,0.05,4,2,0.1,constant,0.9,vaguely-speak,12,11.4,48.23,1.3,0.484
43,1,129,0.05,4,2,0.1,constant,1,openly-listen,11.9,12.2,44.14,1.5,0.486
44,1,129,0.05,4,2,0.1,constant,1,vaguely-speak,11.9,12.2,44.14,1.5,0.486
45,1,129,0.05,4,2,0.1,uniform,0.1,openly-listen,12.2,17,27.33,2.9,0.488
46,1,129,0.05,4,2,0.1,uniform,0.1,vaguely-speak,12.6,18,24.87,3.3,0.481
47,1,129,0.05,4,2,0.1,uniform,0.5,openly-listen,12,15.3,32.19,2.3,0.492
48,1,129,0.05,4,2,0.1,uniform,0.5,vaguely-speak,12.5,16.1,29.77,2.6,0.48
49,1,129,0.05,4,2,0.1,uniform,0.9,openly-listen,12.2,15.4,31.82,2.4,0.489
50,1,129,0.05,4,2,0.1,uniform,0.9,vaguely-speak,12.5,16.8,27.69,2.9,0.485
51,1,129,0.05,4,2,0.1,uniform,1,openly-listen,13.5,26.9,12.45,7.3,0.52
52,1,129,0.05,4,2,0.1,uniform,1,vaguely-speak,12.3,15.2,32.31,2.3,0.482
53,1,129,0.05,4,2,0.2,constant,0.1,openly-listen,22.4,37.5,6.73,14.2,0.505
54,1,129,0.05,4,2,0.2,constant,0.1,vaguely-speak,22.4,37.5,6.73,14.2,0.505
55,1,129,0.05,4,2,0.2,constant,0.5,openly-listen,26.2,44.2,4.93,19.7,0.52
56,1,129,0.05,4,2,0.2,constant,0.5,vaguely-speak,26.2,44.2,4.93,19.7,0.52
57,1,129,0.05,4,2,0.2,constant,0.9,openly-listen,37.9,62.3,2.52,39.1,0.534
58,1,129,0.05,4,2,0.2,constant,0.9,vaguely-speak,37.9,62.3,2.52,39.1,0.534
59,1,129,0.05,4,2,0.2,constant,1,openly-listen,36.7,63,2.47,40,0.539
60,1,129,0.05,4,2,0.2,constant,1,vaguely-speak,36.7,63,2.47,40,0.539
61,1,129,0.05,4,2,0.2,uniform,0.1,openly-listen,31.4,29.9,10.32,9,0.334
62,1,129,0.05,4,2,0.2,uniform,0.1,vaguely-speak,51.5,68.2,2.12,46.8,0.65
63,1,129,0.05,4,2,0.2,uniform,0.5,openly-listen,24.1,31.7,9.22,10.2,0.461
64,1,129,0.05,4,2,0.2,uniform,0.5,vaguely-speak,81.4,92.6,1.15,86.5,0.392
65,1,129,0.05,4,2,0.2,uniform,0.9,openly-listen,17,27.3,12.17,7.5,0.466
66,1,129,0.05,4,2,0.2,uniform,0.9,vaguely-speak,81,92.6,1.15,86.5,0.377
67,1,129,0.05,4,2,0.2,uniform,1,openly-listen,17.7,20.3,20.37,4.2,0.427
68,1,129,0.05,4,2,0.2,uniform,1,vaguely-speak,83.2,93.4,1.14,87.9,0.37
69,1,129,0.05,4,2,0.3,constant,0.1,openly-listen,76.8,88.9,1.25,79.6,0.487
70,1,129,0.05,4,2,0.3,constant,0.1,vaguely-speak,76.8,88.9,1.25,79.6,0.487
71,1,129,0.05,4,2,0.3,constant,0.5,openly-listen,85.3,94.2,1.12,89.4,0.315
72,1,129,0.05,4,2,0.3,constant,0.5,vaguely-speak,85.3,94.2,1.12,89.4,0.315
73,1,129,0.05,4,2,0.3,constant,0.9,openly-listen,90.3,95.7,1.08,92.4,0.292
74,1,129,0.05,4,2,0.3,constant,0.9,vaguely-speak,90.3,95.7,1.08,92.4,0.292
75,1,129,0.05,4,2,0.3,constant,1,openly-listen,82.6,92.6,1.15,86.5,0.375
76,1,129,0.05,4,2,0.3,constant,1,vaguely-speak,82.6,92.6,1.15,86.5,0.375
77,1,129,0.05,4,2,0.3,uniform,0.1,openly-listen,42.1,56.8,3.02,32.5,0.324
78,1,129,0.05,4,2,0.3,uniform,0.1,vaguely-speak,100,99.6,1,100,0
