Sim_ID,Seed,Population,Random_links,Close_links,Dimensions,Boundary,Boundary_method,P_speaking,Mode,Far_from_entropy,One_group_size,Number_of_equal_groups,Zero_lenghts,SD
13001,1,129,0,64,1,0.1,constant,1,openly-listen,49.3,56.3,3.08,32,0.465
13002,1,129,0,64,1,0.1,constant,1,vaguely-speak,49.3,56.3,3.08,32,0.465
13003,1,129,0,64,1,0.1,uniform,1,openly-listen,44,64,2.4,41.3,0.406
13004,1,129,0,64,1,0.1,uniform,1,vaguely-speak,77,73,1.85,53.8,0.477
13005,1,129,0,64,1,0.2,constant,1,openly-listen,77,73,1.85,53.8,0.458
13006,1,129,0,64,1,0.2,constant,1,vaguely-speak,77,73,1.85,53.8,0.458
13007,1,129,0,64,1,0.2,uniform,1,openly-listen,86.9,95,1.1,91,0.217
13008,1,129,0,64,1,0.2,uniform,1,vaguely-speak,100,99.6,1,100,0
13009,1,129,0,64,1,0.3,constant,1,openly-listen,100,99.6,1,100,0
13010,1,129,0,64,1,0.3,constant,1,vaguely-speak,100,99.6,1,100,0
13011,1,129,0,64,1,0.3,uniform,1,openly-listen,80.1,91.2,1.19,83.8,0.146
13012,1,129,0,64,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0
13013,1,257,0,128,1,0.1,constant,1,openly-listen,54.3,57.4,3,33.1,0.445
13014,1,257,0,128,1,0.1,constant,1,vaguely-speak,54.3,57.4,3,33.1,0.445
13015,1,257,0,128,1,0.1,uniform,1,openly-listen,36.4,61.2,2.64,37.6,0.383
13016,1,257,0,128,1,0.1,uniform,1,vaguely-speak,76.9,71.3,1.95,51.1,0.465
13017,1,257,0,128,1,0.2,constant,1,openly-listen,76.9,70.6,1.99,50,0.383
13018,1,257,0,128,1,0.2,constant,1,vaguely-speak,76.9,70.6,1.99,50,0.383
13019,1,257,0,128,1,0.2,uniform,1,openly-listen,68.2,86.5,1.33,75.1,0.324
13020,1,257,0,128,1,0.2,uniform,1,vaguely-speak,100,99.8,1,100,0
13021,1,257,0,128,1,0.3,constant,1,openly-listen,100,99.8,1,100,0
13022,1,257,0,128,1,0.3,constant,1,vaguely-speak,100,99.8,1,100,0
13023,1,257,0,128,1,0.3,uniform,1,openly-listen,62.8,82.5,1.46,68.4,0.227
13024,1,257,0,128,1,0.3,uniform,1,vaguely-speak,100,99.8,1,100,0
13025,1,513,0,256,1,0.1,constant,1,openly-listen,62.3,57.9,2.97,33.6,0.457
13026,1,513,0,256,1,0.1,constant,1,vaguely-speak,62.3,57.9,2.97,33.6,0.457
13027,1,513,0,256,1,0.1,uniform,1,openly-listen,27.9,50.4,3.9,25.5,0.543
13028,1,513,0,256,1,0.1,uniform,1,vaguely-speak,55.4,59.2,2.83,35.2,0.425
13029,1,513,0,256,1,0.2,constant,1,openly-listen,100,99.9,1,100,0
13030,1,513,0,256,1,0.2,constant,1,vaguely-speak,100,99.9,1,100,0
13031,1,513,0,256,1,0.2,uniform,1,openly-listen,64.5,84.9,1.38,72.2,0.226
13032,1,513,0,256,1,0.2,uniform,1,vaguely-speak,100,99.9,1,100,0
13033,1,513,0,256,1,0.3,constant,1,openly-listen,100,99.9,1,100,0
13034,1,513,0,256,1,0.3,constant,1,vaguely-speak,100,99.9,1,100,0
13035,1,513,0,256,1,0.3,uniform,1,openly-listen,68.5,86.8,1.32,75.5,0.212
13036,1,513,0,256,1,0.3,uniform,1,vaguely-speak,100,99.9,1,100,0
13037,2,129,0,64,1,0.1,constant,1,openly-listen,55.8,59.9,2.73,36.2,0.5
13038,2,129,0,64,1,0.1,constant,1,vaguely-speak,55.8,59.9,2.73,36.2,0.5
13039,2,129,0,64,1,0.1,uniform,1,openly-listen,52.7,63.4,2.44,40.6,0.322
13040,2,129,0,64,1,0.1,uniform,1,vaguely-speak,55.2,59.1,2.8,35.2,0.479
13041,2,129,0,64,1,0.2,constant,1,openly-listen,74.6,69.9,2.01,49.3,0.442
13042,2,129,0,64,1,0.2,constant,1,vaguely-speak,74.6,69.9,2.01,49.3,0.442
13043,2,129,0,64,1,0.2,uniform,1,openly-listen,75.7,89.7,1.23,81.2,0.347
13044,2,129,0,64,1,0.2,uniform,1,vaguely-speak,100,99.6,1,100,0
13045,2,129,0,64,1,0.3,constant,1,openly-listen,100,99.6,1,100,0
13046,2,129,0,64,1,0.3,constant,1,vaguely-speak,100,99.6,1,100,0
13047,2,129,0,64,1,0.3,uniform,1,openly-listen,56.7,77.5,1.64,60.5,0.268
13048,2,129,0,64,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0
13049,2,257,0,128,1,0.1,constant,1,openly-listen,42.9,49.8,3.97,24.9,0.476
13050,2,257,0,128,1,0.1,constant,1,vaguely-speak,42.9,49.8,3.97,24.9,0.476
13051,2,257,0,128,1,0.1,uniform,1,openly-listen,44.9,62.8,2.51,39.5,0.629
13052,2,257,0,128,1,0.1,uniform,1,vaguely-speak,64.5,57.8,2.96,33.5,0.408
13053,2,257,0,128,1,0.2,constant,1,openly-listen,76.9,70.8,1.98,50.3,0.395
13054,2,257,0,128,1,0.2,constant,1,vaguely-speak,76.9,70.8,1.98,50.3,0.395
13055,2,257,0,128,1,0.2,uniform,1,openly-listen,85.5,95.2,1.1,90.9,0.233
13056,2,257,0,128,1,0.2,uniform,1,vaguely-speak,100,99.8,1,100,0
13057,2,257,0,128,1,0.3,constant,1,openly-listen,100,99.8,1,100,0
13058,2,257,0,128,1,0.3,constant,1,vaguely-speak,100,99.8,1,100,0
13059,2,257,0,128,1,0.3,uniform,1,openly-listen,58,79.7,1.56,63.8,0.25
13060,2,257,0,128,1,0.3,uniform,1,vaguely-speak,100,99.8,1,100,0
13061,2,513,0,256,1,0.1,constant,1,openly-listen,42.1,50.6,3.87,25.7,0.477
13062,2,513,0,256,1,0.1,constant,1,vaguely-speak,42.1,50.6,3.87,25.7,0.477
13063,2,513,0,256,1,0.1,uniform,1,openly-listen,61.8,85,1.38,72.5,0.356
13064,2,513,0,256,1,0.1,uniform,1,vaguely-speak,54.5,58,2.96,33.7,0.438
13065,2,513,0,256,1,0.2,constant,1,openly-listen,76.9,71,1.97,50.6,0.419
13066,2,513,0,256,1,0.2,constant,1,vaguely-speak,76.9,71,1.97,50.6,0.419
13067,2,513,0,256,1,0.2,uniform,1,openly-listen,64.8,85.4,1.37,73.1,0.485
13068,2,513,0,256,1,0.2,uniform,1,vaguely-speak,100,99.9,1,100,0
13069,2,513,0,256,1,0.3,constant,1,openly-listen,100,99.9,1,100,0
13070,2,513,0,256,1,0.3,constant,1,vaguely-speak,100,99.9,1,100,0
13071,2,513,0,256,1,0.3,uniform,1,openly-listen,58.4,79.3,1.58,63.1,0.312
13072,2,513,0,256,1,0.3,uniform,1,vaguely-speak,100,99.9,1,100,0
13073,3,129,0,64,1,0.1,constant,1,openly-listen,54.9,58.2,2.88,34.2,0.42
13074,3,129,0,64,1,0.1,constant,1,vaguely-speak,54.9,58.2,2.88,34.2,0.42
13075,3,129,0,64,1,0.1,uniform,1,openly-listen,67.8,88.1,1.28,78.2,0.286
13076,3,129,0,64,1,0.1,uniform,1,vaguely-speak,77.5,76.8,1.67,59.4,0.443
13077,3,129,0,64,1,0.2,constant,1,openly-listen,100,99.6,1,100,0
13078,3,129,0,64,1,0.2,constant,1,vaguely-speak,100,99.6,1,100,0
13079,3,129,0,64,1,0.2,uniform,1,openly-listen,63.1,79.6,1.56,63.8,0.237
13080,3,129,0,64,1,0.2,uniform,1,vaguely-speak,100,99.6,1,100,0
13081,3,129,0,64,1,0.3,constant,1,openly-listen,100,99.6,1,100,0
13082,3,129,0,64,1,0.3,constant,1,vaguely-speak,100,99.6,1,100,0
13083,3,129,0,64,1,0.3,uniform,1,openly-listen,72.6,86.8,1.32,75.8,0.208
13084,3,129,0,64,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0
13085,3,257,0,128,1,0.1,constant,1,openly-listen,56.6,50.1,3.92,25.2,0.422
13086,3,257,0,128,1,0.1,constant,1,vaguely-speak,56.6,50.1,3.92,25.2,0.422
13087,3,257,0,128,1,0.1,uniform,1,openly-listen,45.9,60.1,2.74,36.3,0.357
13088,3,257,0,128,1,0.1,uniform,1,vaguely-speak,77.2,75.3,1.75,57,0.42
13089,3,257,0,128,1,0.2,constant,1,openly-listen,100,99.8,1,100,0
13090,3,257,0,128,1,0.2,constant,1,vaguely-speak,100,99.8,1,100,0
13091,3,257,0,128,1,0.2,uniform,1,openly-listen,66.3,79.4,1.58,63.3,0.204
13092,3,257,0,128,1,0.2,uniform,1,vaguely-speak,100,99.8,1,100,0
13093,3,257,0,128,1,0.3,constant,1,openly-listen,100,99.8,1,100,0
13094,3,257,0,128,1,0.3,constant,1,vaguely-speak,100,99.8,1,100,0
13095,3,257,0,128,1,0.3,uniform,1,openly-listen,71.9,86.1,1.34,74.5,0.221
13096,3,257,0,128,1,0.3,uniform,1,vaguely-speak,100,99.8,1,100,0
13097,3,513,0,256,1,0.1,constant,1,openly-listen,41.8,52.1,3.65,27.2,0.451
13098,3,513,0,256,1,0.1,constant,1,vaguely-speak,41.8,52.1,3.65,27.2,0.451
13099,3,513,0,256,1,0.1,uniform,1,openly-listen,55.6,65.7,2.31,43.2,0.33
13100,3,513,0,256,1,0.1,uniform,1,vaguely-speak,54.5,57.9,2.97,33.6,0.441
13101,3,513,0,256,1,0.2,constant,1,openly-listen,76.9,70.8,1.99,50.2,0.399
13102,3,513,0,256,1,0.2,constant,1,vaguely-speak,76.9,70.8,1.99,50.2,0.399
13103,3,513,0,256,1,0.2,uniform,1,openly-listen,56.9,77.9,1.64,60.8,0.225
13104,3,513,0,256,1,0.2,uniform,1,vaguely-speak,100,99.9,1,100,0
13105,3,513,0,256,1,0.3,constant,1,openly-listen,100,99.9,1,100,0
13106,3,513,0,256,1,0.3,constant,1,vaguely-speak,100,99.9,1,100,0
13107,3,513,0,256,1,0.3,uniform,1,openly-listen,63.9,80.9,1.53,65.5,0.291
13108,3,513,0,256,1,0.3,uniform,1,vaguely-speak,100,99.9,1,100,0
13109,4,129,0,64,1,0.1,constant,1,openly-listen,64.5,57.2,2.99,33,0.496
13110,4,129,0,64,1,0.1,constant,1,vaguely-speak,64.5,57.2,2.99,33,0.496
13111,4,129,0,64,1,0.1,uniform,1,openly-listen,31.6,53,3.46,28.3,0.545
13112,4,129,0,64,1,0.1,uniform,1,vaguely-speak,55.3,58.6,2.85,34.6,0.509
13113,4,129,0,64,1,0.2,constant,1,openly-listen,76.9,70.2,2,49.7,0.451
13114,4,129,0,64,1,0.2,constant,1,vaguely-speak,76.9,70.2,2,49.7,0.451
13115,4,129,0,64,1,0.2,uniform,1,openly-listen,73.6,88.2,1.27,78.5,0.516
13116,4,129,0,64,1,0.2,uniform,1,vaguely-speak,100,99.6,1,100,0
13117,4,129,0,64,1,0.3,constant,1,openly-listen,100,99.6,1,100,0
13118,4,129,0,64,1,0.3,constant,1,vaguely-speak,100,99.6,1,100,0
13119,4,129,0,64,1,0.3,uniform,1,openly-listen,83.2,89.4,1.24,80.5,0.613
13120,4,129,0,64,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0
13121,4,257,0,128,1,0.1,constant,1,openly-listen,51.7,57.4,3,33,0.469
13122,4,257,0,128,1,0.1,constant,1,vaguely-speak,51.7,57.4,3,33,0.469
13123,4,257,0,128,1,0.1,uniform,1,openly-listen,43.1,62.5,2.54,39.2,0.578
13124,4,257,0,128,1,0.1,uniform,1,vaguely-speak,76.9,71.1,1.96,50.7,0.474
13125,4,257,0,128,1,0.2,constant,1,openly-listen,76.9,71,1.97,50.6,0.398
13126,4,257,0,128,1,0.2,constant,1,vaguely-speak,76.9,71,1.97,50.6,0.398
13127,4,257,0,128,1,0.2,uniform,1,openly-listen,53.3,75.7,1.73,57.5,0.382
13128,4,257,0,128,1,0.2,uniform,1,vaguely-speak,100,99.8,1,100,0
13129,4,257,0,128,1,0.3,constant,1,openly-listen,100,99.8,1,100,0
13130,4,257,0,128,1,0.3,constant,1,vaguely-speak,100,99.8,1,100,0
13131,4,257,0,128,1,0.3,uniform,1,openly-listen,59.7,80.4,1.54,65,0.343
13132,4,257,0,128,1,0.3,uniform,1,vaguely-speak,100,99.8,1,100,0
13133,4,513,0,256,1,0.1,constant,1,openly-listen,55.2,59.5,2.81,35.5,0.482
13134,4,513,0,256,1,0.1,constant,1,vaguely-speak,55.2,59.5,2.81,35.5,0.482
13135,4,513,0,256,1,0.1,uniform,1,openly-listen,57,82.9,1.45,68.8,0.335
13136,4,513,0,256,1,0.1,uniform,1,vaguely-speak,76.9,70.7,1.99,50.1,0.503
13137,4,513,0,256,1,0.2,constant,1,openly-listen,76.9,70.7,2,50,0.436
13138,4,513,0,256,1,0.2,constant,1,vaguely-speak,76.9,70.7,2,50,0.436
13139,4,513,0,256,1,0.2,uniform,1,openly-listen,70.3,86.3,1.34,74.7,0.605
13140,4,513,0,256,1,0.2,uniform,1,vaguely-speak,100,99.9,1,100,0
13141,4,513,0,256,1,0.3,constant,1,openly-listen,100,99.9,1,100,0
13142,4,513,0,256,1,0.3,constant,1,vaguely-speak,100,99.9,1,100,0
13143,4,513,0,256,1,0.3,uniform,1,openly-listen,59.8,82.6,1.46,68.4,0.307
13144,4,513,0,256,1,0.3,uniform,1,vaguely-speak,100,99.9,1,100,0
13145,5,129,0,64,1,0.1,constant,1,openly-listen,29.8,45.1,4.73,20.5,0.476
13146,5,129,0,64,1,0.1,constant,1,vaguely-speak,29.8,45.1,4.73,20.5,0.476
13147,5,129,0,64,1,0.1,uniform,1,openly-listen,31.8,61.5,2.59,38.2,0.483
